"Model(Codename)","Launch","Architecture&Fab","Core","Fillrate","Core","Memory","Memory","Memory","Fillrate","Processingpower(GFLOPS)","Memory","TDP"
"Model(Codename)","Launch","Architecture&Fab","Config","Clock(MHz)","Processingpower(GFLOPS)","Texture(GT/s)","TDP","Pixel(GP/s)","Bustype&width","Size(GiB)","Clock(MHz)","Band-width(GB/s)"
"RadeonR5M420(JetPro)","15May2016","GCN1gen28nm","320:20:8","780855","15.617.1","6.246.84","499547","DDR364-bit","2","1000","16.0","~20W"
"RadeonR5M430(ExoPro)","15May2016","GCN1gen28nm","320:20:8","1030?","20.6","8.2","659.2659.2","DDR364-bit","2","1000","14.4","18W"
"RadeonR7M435(JetPro)","15May2016","GCN1gen28nm","320:20:8","780855","15.617.1","6.246.84","499547","GDDR564-bit","4","1000","32","~20W"
"RadeonR7M440(MesoPro)","15May2016","GCN1gen28nm","320:20:8","1021?","20.4","8.17","653653","DDR364-bit","4","1000","16","~20W"
"RadeonR7M445(MesoPro)","14May2016","GCN1gen28nm","320:20:8","780920","15.618.4","6.247.36","499589","GDDR564-bit","4","1000","32","~20W"
"RadeonR7M460(MesoXT)","April2016","GCN1gen28nm","384:24:8","11001125","26.427.0","8.89.00","844864","DDR364-bit","2","900","14.4","Unknown"
"RadeonRX460(Baffin)","August2016","GCN4gen14nm","896:56:16","Unknown","Unknown","Unknown","Unknown","GDDR5128-bit","2","1750","112","35W?"
"RadeonR7M465(LithoXT)","May2016","GCN1gen28nm","384:24:8","825960","19.823.0","6.67.68","634737","GDDR5128-bit","4","1150","32","Unknown"
"RadeonR7M465X(TropoXT)","May2016","GCN1gen28nm","512:32:16","900925","28.829.6","14.414.80","921947","GDDR5128-bit","4","1125","72","Unknown"
"RadeonR9M470(StratoPro)","May2016","GCN2gen28nm","768:48:16","9001000","43.248.0","14.416.00","13821536","GDDR5128-bit","4","1500","96","~75W"
"RadeonR9M470X(StratoXT)","May2016","GCN2gen28nm","896:56:16","10001100","56.061.6","16.0017.60","17921971","GDDR5128-bit","4","1500","96","~75W"
"RadeonRX470(EllesmerePro)","August2016","GCN4gen14nm","2048:128:32","Unknown","Unknown","Unknown","Unknown","GDDR5256-bit","4","1650","211","85W?"
"RadeonRX480M(Baffin)","TBA","GCN4gen14nm","1024:xx:xx","Unknown","Unknown","Unknown","Unknown","GDDR5128-bit","Unknown","Unknown","Unknown","35W"
"RadeonR9M485X(AntiguaXT)","May2016","GCN3gen28nm","2048:128:32","723","92.5","23.14","2961","GDDR5256-bit","8","1250","160","~100W"
