"Model","Launch","Architecture(Fab)","Businterface","Clockrate","Clockrate","Fillrate","Memory","Processingpower(GFLOPS)","APIcompliance(version)","APIcompliance(version)","APIcompliance(version)","Memory","Memory","Coreconfig","Fillrate","Memory","Processingpower(GFLOPS)","APIcompliance(version)","TDP(Watts)","Notes"
"Model","Launch","Architecture(Fab)","Businterface","Core(MHz)","Coreconfig","Memory(MHz)","Pixel(GP/s)","Texture(GT/s)","Size(GiB)","TDP(Watts)","Notes","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Singleprecision","Doubleprecision","Direct3D","OpenGL","OpenCL","Vulkan"
"RadeonE6465","","","","600","800","?:?:?:2","","","2","","GDDR5","64","192","","11","?","?","?","20","PCIe(4×miniDPor2×DP),orMXMTypeA(4×DP/HDMI/DVI)"
"RadeonE8860","","GCN(?)","","625","1125","?:?:?:10","","","2","","GDDR5","128","768","","12.0","4.5","1.2","?","37","PCIe,MXMTypeA,orMCM;withorw/ofan;miniDP,DVI+miniDP,orDP/HDMI/DVI"
"RadeonE8870","","","","1000","1500","?:?:?:12","","","4","128","","GDDR5","12.0","4.5","1500","?","","2.0","75","PCIe(4×DP)orMXMTypeB(6×DP/HDMI/DVI)"
"RadeonE9260","","Polaris(?)","PCIe3.0x8","","","?:?:?:14","","4","","","128","2.0","2500","GDDR5","12.0","4.5","","?","50","PCIe(4×miniDP)orMXMTypeA(5×DP/HDMI/DVI)"
"RadeonE9390","Polaris(?)","","PCIe3.0x16","1086","1250","?:?:?:28","","","8","","256","GDDR5","2.0","3900","12.0","4.5","","?","75","4×DisplayPort"
"RadeonE9550","PCIe3.0x16","Polaris(?)","","1243","1250","?:?:?:36","8","","256","","","5700","","95","GDDR5","2.0","MXMTypeB6×DP/HDMI","12.0","4.5","?"
"RadeonE9560","PCIe3.0x16","Polaris(?)","?:?:?:36","","1243","1750","5700","","","8","","256","","130","4×DisplayPort","GDDR5","12.0","4.5","2.0","?"
"RadeonE9565","PCIe3.0x16","Polaris(?)","?:?:?:36","","1243","1750","5700","","","","16","256","","135","6×miniDP","GDDR5","12.0","2.0","4.5","?"
