"Model","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","SupportedAPIversion","Memory","Memory","Fillrate","Memory","SupportedAPIversion","TDP(Watts)","Notes"
"Model","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Pixel(GP/s)","Texture(GT/s)","Size(MB)","TDP(Watts)","Notes","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Direct3D","OpenGL"
"Quadro","NV10GL","220","AGP4x","135","166","0:4:4:4","0.54","0.54","64","2.66","SDR","128","7","1.2","",""
"QuadroDDR","NV10GL","220","AGP4x","135","333","0:4:4:4","0.54","0.54","64","5.312","DDR","128","7","1.2","",""
"Quadro2MXR","NV11GL","180","AGP4x","200","183","0:2:4:2","0.4","0.4","64","2.93","SDR","128","7","1.2","",""
"Quadro2EX","NV11GL","180","175","166","0:2:4:2","AGP4x","0.35","0.35","SDR","2.7","64","128","7","1.2","",""
"Quadro2PRO","NV15GL","150","AGP4x","250","400","0:4:8:4","1","2","64","6.4","DDR","128","7","1.2","",""
"QuadroDCC","NV20GL","180","AGP4x","200","460","1:4:8:4","0.8","1.6","DDR","128","7.4","8","128","1.4","",""
"Quadro4380XGL","NV18GL","150","AGP8x","275","513","0:2:4:2","0.55","128","1.1","DDR","1.4","8.2","7","128","",""
"Quadro4500XGL","NV17GL","150","AGP4x","250","166","0:2:4:2","0.5","1","2.7","7","128","SDR","128","1.4","",""
"Quadro4550XGL","NV17GL","AGP4x","270","150","400","0.59","1.08","0:2:4:2","64","6.4","DDR","7","128","","","1.4"
"Quadro4580XGL","NV18GL","400","150","AGP8x","64","6.4","DDR","300","0.6","0:2:4:2","1.2","128","","7","","1.4"
"Quadro4700XGL","NV25","150","AGP4x","275","64","550","DDR","2:4:8:4","1.1","2.2","8.8","8","128","1.4","",""
"Quadro4750XGL","NV25","AGP4x","275","550","2:4:8:4","1.1","2.2","8.8","8","128","150","1.5","Stereodisplay","128","","DDR"
"Quadro4900XGL","128","NV25","Stereodisplay","AGP4x","300","150","2:4:8:4","650","1.2","2.4","8","10.4","DDR","1.4","128",""
"Quadro4980XGL","300","650","1.2","2.4","10.4","1.4","128","NV28GL","Stereodisplay","150","AGP8x","128","2:4:8:4","","DDR","8"
"Model","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Pixel(GP/s)","Texture(GT/s)","Size(MB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Direct3D","OpenGL","TDP(Watts)","Features"
"Fillrate","Memory","SupportedAPIversion","Memory","Memory","Model","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","SupportedAPIversion","TDP(Watts)","Features"
