"Model","Micro-architecture","Launch","Chips","Coreclock(MHz)","Shaders","Memory","Processingpower(GFLOPS)","Processingpower(GFLOPS)","Memory","Memory","Memory","Shaders","Shaders","Memory","Processingpower(GFLOPS)","CUDAcomputeability","TDP(watts)","Notes,form_factor"
"Model","Micro-architecture","Launch","Chips","Coreclock(MHz)","Cudacores(total)","Baseclock(MHz)","Maxboostclock(MHz)","CUDAcomputeability","TDP(watts)","Notes,form_factor","Bustype","Buswidth(bit)","Size(GB)","Clock(MT/s)","Bandwidth(GB/s)","Singleprecision(MAD+MUL)","Singleprecision(MADorFMA)","Doubleprecision(FMA)"
"Units","","","","","","MHz","MHz","","","","","","","","","","W",""
"C870GPUComputingModule","Tesla","May2,2007","1×G80","600","128","1350","N/A","GDDR3","384","1.5","1600","76.8","518.4","345.6","No","1.0","170.9","InternalPCIeGPU(full-height,dual-slot)"
"D870DesksideComputer","Tesla","May2,2007","2×G80","600","256","1350","N/A","GDDR3","2×384","2×1.5","1600","2×76.8","1036.8","691.2","No","1.0","520","Desksideor3Urack-mountexternalGPUs"
"S870GPUComputingServer","Tesla","May2,2007","4×G80","600","512","1350","N/A","GDDR3","4×384","4×1.5","1600","4×76.8","2073.6","1382.4","No","1.0","","1Urack-mountexternalGPUs,connectvia2×PCIe(×16)"
"C1060GPUComputingModule","Tesla","April9,2009","1×GT200","602","240","1296","N/A","GDDR3","512","4","1600","102.4","933.12","622.08","77.76","1.3","187.8","InternalPCIeGPU(full-height,dual-slot)"
"S1070GPUComputingServer""400configuration""","Tesla","June1,2008","4×GT200","602","960","1296","N/A","GDDR3","4×512","4×4","1538.4","4×98.5","3732.5","2488.3","311.0","1.3","800","1Urack-mountexternalGPUs,connectvia2×PCIe(×8or×16)"
"S1070GPUComputingServer""500configuration""","Tesla","4×GT200","602","960","","1440","GDDR3","4×512","4×4","1538.4","4×98.5","N/A","4147.2","2764.8","1.3","800","1Urack-mountexternalGPUs,connectvia2×PCIe(×8or×16)","345.6"
"S1075GPUComputingServer","Tesla","June1,2008","4×GT200","602","960","1440","N/A","GDDR3","4×512","4×4","1538.4","4×98.5","4147.2","2764.8","345.6","1.3","","1Urack-mountexternalGPUs,connectvia1×PCIe(×8or×16)"
