"","Relativeandinterrogative","Demonstrative","Indeterminate","","Negative","Collective","","Relativeandinterrogative","Demonstrative","Indeterminate","MostIndeterminate","Negative","Collective"
"","Esperanto","Ido","Esperanto","Ido","Esperanto","Ido","Ido","Esperanto","Ido","Esperanto","Ido"
"","ki-","qua,?","ti-","ita,?","i-","ula,?","irga","neni-","nula","?i-","omna"
"Individual","Esperanto","-u","kiu","tiu","iu","neniu","?iu","iu","kiu","tiu","iu","neniu","?iu"
"Individual","Ido","qua","ita","ulu","-u","nulu","omnu","qua","ita","ulu","irgu","nulu","omnu"
"Thing","Esperanto","-o","kio","tio","io","nenio","?io","io","kio","tio","io","nenio","?io"
"Thing","Ido","quo","ito","ulo","-o","nulo","omno","quo","ito","ulo","irgo","nulo","omno"
"Plural","Esperanto","-j","kiuj/kioj","tiuj/tioj","iuj/ioj","neniuj/nenioj","?iuj/?ioj","iuj/ioj","kiuj/kioj","tiuj/tioj","iuj/ioj","neniuj/nenioj","?iuj/?ioj"
"Plural","Ido","qui","iti","uli","-i","nuli","omni","qui","iti","uli","irgi","nuli","omni"
"Motive","Esperanto","-al","kial","tial","ial","nenial","?ial","ial","kial","tial","ial","nenial","?ial"
"Motive","Ido","proquo","proto","proulo","pro","pronulo","proomno","proquo","proto","proulo","proirgo","pronulo","proomno"
"Association","Esperanto","-es","kies","ties","ies","kies","nenies","?ies","ties","ies","","nenies","?ies"
"Association","Ido","diquo","dito","diulo","di","dinulo","diomno","diquo","dito","diulo","diirgo","dinulo","diomno"
"Adjective","Ido","-a","qua","ita","ula","qua","nula","omna","ita","ula","irga","nula","omna"
"Place","Esperanto","-e","kie","tie","ie","nenie","?ie","ie","kie","tie","ie","nenie","?ie"
"Place","Ido","ube,qualoke","ibe","ulaloke","loke","nulaloke","omnaloke","ube,qualoke","ibe","ulaloke","irgaloke","nulaloke","omnaloke"
"Time","Esperanto","-am","kiam","tiam","iam","neniam","?iam","iam","kiam","tiam","iam","neniam","?iam"
"Time","Ido","kande","lore,(i)tatempe","ulatempe","tempe","nulatempe","omnatempe,sempre","kande","lore,(i)tatempe","ulatempe","irgatempe","nulatempe","omnatempe,sempre"
"Quality","Esperanto","-a","kia","tia","ia","nenia","?ia","ia","kia","tia","ia","nenia","?ia"
"Quality","Ido","quala","tala","ulaspeca","-a,speca","nulaspeca","omnaspeca","quala","tala","ulaspeca","irgaspeca","nulaspeca","omnaspeca"
"Manner","Esperanto","-el","kiel","tiel","iel","neniel","?iel","iel","kiel","tiel","iel","neniel","?iel"
"Manner","Ido","quale","tale","ule,ulamaniere","-e,maniere","nule,nulamaniere","omnamaniere","quale","tale","ule,ulamaniere","irge,irgamaniere","nule,nulamaniere","omnamaniere"
"Quantity–adjective","Esperanto","-om","kiom","tiom","iom","neniom","?iom","iom","kiom","tiom","iom","neniom","?iom"
"Quantity–adjective","Ido","quanta","tanta","ulaquanta","quanta","nulaquanta","omnaquanta","quanta","tanta","ulaquanta","irgaquanta","nulaquanta","omnaquanta"
