"Name","Windows","macOS","Linux","Unix","BSD","Other"
"3dsMax","Yes","No","No","No","No","No"
"AC3D","Yes","Yes","Yes","No","No","No"
"ArtofIllusion","N/A","N/A","N/A","N/A","N/A","Javavirtualmachine"
"AutoCAD","Yes","Yes","No","No","No","No"
"Blender","Yes","Yes","Yes","Yes","Yes","Solaris,AmigaOS4,MorphOS"
"Carrara","Yes","Yes","No","No","No","No"
"Cheetah3D","No","Yes","No","No","No","No"
"Cinema4D","Yes","Yes","No","No","No","AmigaOS"
"Clara.io","Yes","Yes","Yes","Yes","Yes","ChromeOS,Android"
"DesignSparkMechanical","Yes","No","No","No","No","No"
"ElectricImageAnimationSystem","Yes","Yes","No","No","No","No"
"form-Z","Yes","Yes","No","No","No","No"
"HiCAD","Yes","No","No","No","No","No"
"Houdini","Yes","Yes","Yes","No","No","No"
"IClone","Yes","No","No","No","No","No"
"LightWave3D","Yes","Yes","No","No","No","AmigaOS"
"MakeHuman","Yes","Yes","Yes","No","No","No"
"Massive","Yes","No","Yes","No","No","No"
"Maya","Yes","Yes","Yes","No","No","No"
"Metasequoia","Yes","Yes","No","No","No","No"
"Modo","Yes","Yes","Yes","No","No","No"
"POV-Ray","Yes","Yes","Yes","No","No","AmigaOS,AtariTOS"
"Remo3D","Yes","No","Yes","No","No","No"
"Shade","Yes","Yes","No","No","No","No"
"Silo","Yes","Yes","Yes","No","No","No"
"SketchUpMake","Yes","Yes","No","No","No","No"
"SketchUpPro","Yes","Yes","No","No","No","No"
"Softimage","Yes","No","Yes","No","No","No"
"SolidEdge","Yes","No","No","No","No","No"
"solidWorks","Yes","No","No","No","No","No"
"solidThinking","Yes","Yes","No","No","No","No"
"SpaceClaim","Yes","No","No","No","No","No"
"trueSpace","Yes","No","No","No","No","AmigaOS"
"VertoStudio3D","No","Yes","No","No","No","iOS"
"E-onVue","Yes","Yes","No","No","No","No"
"Wings3D","Yes","Yes","Yes","No","No","No"
"ZBrush","Yes","Yes","No","No","No","No"
