"Manufacturer","Module","SOC/SIPChip","MCUcore","RAM","Flash","Antenna","Sleep","TX","RX","TXPower","Sensitivity","PCBSize","Released","Interfacing","Firmwareoptions"
"Anaren","A2530R24Adatasheet","CC2530datasheet","32MHz8-bit8051","8kB","256kB","PrintedTrace","1?A","34mA","25mA","4dBm","-90dBm","11mm×19mm","July,2012","UART,SPI","AIR-ZNP,basedonTIZ-Stack"
"Anaren","A2530R24Cdatasheet","CC2530datasheet","32MHz8-bit8051","8kB","256kB","U.FLconnector","1?A","34mA","25mA","4dBm","-90dBm","11mm×19mm","July,2012","UART,SPI","AIR-ZNP,basedonTIZ-Stack"
"Anaren","A2530E24Adatasheet","CC2530datasheet","32MHz8-bit8051","8kB","256kB","PrintedTrace","1?A","130mA","28mA","15dBm","-95dBm","11mm×19mm","July,2012","UART,SPI","AIR-ZNP,basedonTIZ-Stack"
"Anaren","A2530E24Cdatasheet","CC2530datasheet","32MHz8-bit8051","8kB","256kB","U.FLconnector","1?A","106mA","28mA","13dBm","-95dBm","11mm×19mm","July,2012","UART,SPI","AIR-ZNP,basedonTIZ-Stack"
"Atmel","ZigBit2.4GHz(ATZB-24-B0)datasheet","AT86RF230datasheet","8-bitATmega1281v","8kB","128kB","RFoutput","<6?A","18mA","19mA","-17dBmto3dBm","-101dBm","18.8mm×13.5mm×2.0mm","2009","UART,USART,SPI,I²C,JTAG","BitCloud-ZigBeePRO,WirelessMCUSoftware,BitCloudstack,SerialNet,OpenMAC"
"Atmel","ZigBit2.4GHz(ATZB-24-A2)datasheet","AT86RF230datasheet","8-bitATmega1281v","8kB","128kB","balanceddualchipantenna","<6?A","18mA","19mA","-17dBmto3dBm","-101dBm","24mm×13.5mm×2.0mm","2009","UART,USART,SPI,I²C,JTAG","BitCloud-ZigBeePRO,WirelessMCUSoftware,BitCloudstack,SerialNet,OpenMAC"
"Atmel","ZigBit2.4GHzAmplified(ATZB-A24-U0)datasheet","AT86RF230datasheet","8-bitATmega1281v","8kB","128kB","RFoutput","<6?A","50mA","23mA","Upto20dBm","-104dBm","38mm×13.5mm×2.0mm","2009","UART,USART,SPI,I²C,JTAG","BitCloud-ZigBeePRO,WirelessMCUSoftware,BitCloudstack,SerialNet,OpenMAC"
"Atmel","ZigBit2.4GHzAmplified(ATZB-A24-UFL)datasheet","50mA","23mA","Upto20dBm","-104dBm","38mm×13.5mm×2.0mm","AT86RF230datasheet","8-bitATmega1281v","8kB","128kB","U.FLconnector","<6?A","2009","UART,USART,SPI,I²C,JTAG","BitCloud-ZigBeePRO,WirelessMCUSoftware,BitCloudstack,SerialNet,OpenMAC"
"Atmel","ZigBit700/800/900MHz(ATZB-900-B0)datasheet","AT86RF212datasheet","8-bitATmega1281v","8kB","128kB","RFoutput","<6?A","26mA","11mA","Upto11dBm","–110dBm","24mm×13.5mm×2.8mm","2009","UART,USART,SPI,I²C,JTAG","BitCloud-ZigBeePRO,WirelessMCUSoftware,BitCloudstack,SerialNet,OpenMAC"
"CaliforniaEasternLaboratories","ZICM357SP2datasheetbrochure","EM357datasheetbrochure","32bit,ARMCortex-M3","12kB","192kB","PCBTraceAntennaorRFPortforExternalAntenna","1?A","58mA","34mA","20dBm","–103dBm","23.9mm×16.6mm","Apr,2012","UART,SPI,TWI","ZigBeePROstack:EmberZNetPRO"
"CaliforniaEasternLaboratories","ZICM357SP0datasheetbrochure","EM357datasheetbrochure","32bit,ARMCortex-M3","12kB","192kB","PCBTraceAntennaorRFPortforExternalAntenna","1?A","31mA","30mA","8dBm","–100dBm","23.9mm×16.6mm","Apr,2012","UART,SPI,TWI","ZigBeePROstack:EmberZNetPRO"
"CaliforniaEasternLaboratories","ZICM3588SP0datasheet","SiLabsEM3588brochure","32bit,ARMCortex-M3","64kB","512kB","PCBTraceAntennaorU.FLconnector","2.4?A","44mA","30mA","8dBm","–100dBm","23.9mm×16.6mm","Mar,2014","UART,SPI,I²S","CELZigBeeStackSynapseSNAPStack"
"DigiInternational","Series1XBeemanual","FreescaleMC13193datasheet","8-bit689S08AHCS08","4kB","60kB","integratedWhip,chiporU.FLconnector,RPSMAconnector","10?A,50?A","45mA","50mA","0dBm","–92dBm","24.38mm×27.61mm","Dec,2006","UART","ZigBeestack,DigiMeshnetworkprotocol"
"DigiInternational","Series1XBee-PROmanual","FreescaleMC13193datasheet","8-bit689S08AHCS08","4kB","60kB","integratedWhip,chiporU.FLconnector,RPSMAconnector","10?A,50?A","250mA,340mA,180mA","55mA","18dBm,10dBm","–100dBm","24.38mm×32.94mm","Dec,2006","UART","ZigBeestack,DigiMeshnetworkprotocol"
"DigiInternational","Series2XBeeZBmanual","Ember(nowSiliconLabs)EM250factsheetdatasheet","16-bit12MHzRISC","5kB","128kB","integratedWhip,chiporU.FLconnector,RPSMAconnector","1?A","40mA,35mA","40mA,38mA","3dBm,1dBm","–96dBm,–95dBm","24.38mm×27.61mm","Apr,2008","UART","EmberZNet"
"DigiInternational","Ember(nowSiliconLabs)EM250factsheetdatasheet","16-bit12MHzRISC","5kB","128kB","Series2XBee-PROZBmanual","10?A","295mA,170mA","45mA","17dBm,10dBm","integratedWhip,chiporU.FLconnector,RPSMAconnector","Apr,2008","EmberZNet","–102dBm","24.38mm×32.94mm","UART"
"Dresdenelektronik","deRFmega128-22M002.4GHzdatasheet","ATmega128RFA1datasheet","8-bitATmega","16kB","128kB","Chipceramicantenna","<1?A","18mA","18mA","+3dBm","-98dBm","23.6mm×13.2mm×3.0mm","2012","JTAG,UART,I²C,ADC,SPI,GPIO","MACstackZigBee(BitCloud)6LoWPANAtmel"
