"ADChub","GUI","CLI","Other","Programminglanguage","Basedon"
"ADCH++","No","Yes","?","C++,Lua,Python,Ruby",""
"ADCH++GUI","Yes","No","?","C++,Python","ADCH++"
"DSHub","Yes","Yes","?","Java,Python",""
"FlexHub","Planned","Yes","?","Lua",""
"Luadch","No","Yes","?","C++,Lua",""
"LuadchGUI","Yes","No","?","wxLua",""
"Nexthub","Yes","No","No","C-Sharp",""
"uhub","No","Yes","?","C",""
"Erlhub","?","?","?","Erlang",""
"Qhub","?","?","?","?",""
"StarletADCHub","No","Yes","No","C",""
"StarHub","Yes","?","?","Java",""
"RusHub","No","Yes","No","C++",""
"ADChub","GUI","CLI","Other","Programminglanguage","Basedon"
