"Server","Authoritative","Recursive","RecursionACL","Secondarymode","Caching","DNSSEC","TSIG","IPv6","Wildcard","FreeSoftware","Interface","splithorizon","DNSoverHTTPS"
"BIG-IPDNS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","API,commandline","Yes",""
"BIND","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes(since9.x)","Yes(since4.x)","Yes","Web,commandline","Yes","Yes"
"PowerDNS","Yes","Yes","Yes","Yes","Yes","Yes(since3.0)","Yes(since3.0)","Yes","Yes","Yes","REST,Web,commandline","Partial","Yes"
"djbdns","Yes","Yes","Yes","Yes","Yes","Partial","No","Partialviagenericrecords.[5]","Partial","Yes","commandlineandweb(VegaDNS&NicTool)","Yes",""
"dbndns","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Partial","Yes","commandlineandweb","Yes",""
"pdnsd","Partial","Yes","Partial","Partial","Yes","No","Partial","Yes","Yes","Yes","commandline,pdnsd-ctlprogram","Partial",""
"MaraDNS","Yes","Yes","Yes","Partial","Yes","No","No","Partial","Yes","Yes","commandline","No",""
"Posadis","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","commandline,API","No",""
"Unbound","Partial","Yes","Yes","N/A","Yes","Yes","No","Yes","Yes","Yes","commandline,API","Yes","Yes"
"Dnsmasq","Partial","No","No","No","Yes","Yes(since2.69)","No","Yes","Yes","Yes","commandline","Partial",""
"NSD","Yes","No","N/A","Yes","N/A","Yes","Yes","Yes","Yes","Yes","commandline","No",""
"KnotDNS","Yes","No","N/A","Yes","N/A","Yes","Yes","Yes","Yes","Yes","commandline","Yes",""
"YADIFA","Yes","No","N/A","Yes","N/A","Yes","Yes","Yes","Yes","Yes","commandline","No",""
"MicrosoftDNS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","GUI,commandline,API,WMI,RPC","Yes",""
"SimpleDNSPlus","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","GUI,Web,commandline","Yes","Yes"
"Secure64DNSAuthority","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","No","CommandLineorWebGUI","Yes",""
"Secure64DNSCache","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","CommandLineorWebGUI","Yes",""
"Server","Authoritative","Recursive","RecursionACL","Secondarymode","Caching","DNSSEC","TSIG","IPv6","Wildcard","FreeSoftware","Interface","splithorizon","DNSoverHTTPS"
