"","Austria","Belgium","Czechia","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Latvia","Luxembourg","Moldova","Netherlands","Norway","Poland","Portugal","Romania","Russia","Serbia","Slovakia","Slovenia","Spain","Sweden","Switzerland","Turkey","Ukraine","UnitedKingdom"
"One-waystreet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"One-waystreet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pedestriancrossing","","","","","","","","","or","","","","","","","","","","","","","","","","","","or","","or","",""
"Cyclistcrossing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Livingstreet","or","","","","","","","","","","","","","","","","","","","","","","","","","","","or","","",""
"Pedestrianzone","","","","","","","","","","","","","","","","","","","","","","","","","","","","or","or","",""
"Buslane","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tunnel","","","","","","","","","","","","","or","","","","","","","","","","","","","","","","or","",""
"Expressway","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Motorway","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Austria","Belgium","Czechia","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Latvia","Luxembourg","Moldova","Netherlands","Norway","Poland","Portugal","Romania","Russia","Serbia","Slovakia","Slovenia","Spain","Sweden","Switzerland","Turkey","Ukraine","UnitedKingdom"
