"","FAT12","FAT16","FAT32","HPFS","ISO9660","NTFS","exFAT","UDF","ReFS"
"WindowsNT3.1,3.5,3.51","Yes","Yes","No","Yes","Yes","Yesv1.0/v1.1","No","?","No"
"WindowsNT4.0","Yes","Yes","No","Partial","Yes","Yesv1.2","No","?","No"
"Windows2000","Yes","Yes","Yes","No","Yes","Yesv3.0","No","Yes","No"
"WindowsXP","Yes","Yes","Yes","No","Yes","Yesv3.1","Optional","Yes(2.01)","No"
"WindowsServer2003","Yes","Yes","Yes","No","Yes","Yesv3.1","Optional","Yes","No"
"WindowsVista","Yes","Yes","Yes","No","Yes","Yesv5","Yes","Yes(2.6)","No"
"WindowsServer2008","Yes","Yes","Yes","No","Yes","Yesv5","Yes","Yes","No"
"Windows7","Yes","Yes","Yes","No","Yes","Yesv5","Yes","Yes(2.6)","Yes"
"WindowsServer2008R2","Yes","Yes","Yes","No","Yes","Yesv5","Yes","Yes(2.6)","Yes"
"WindowsServer2012","Yes","Yes","Yes","No","Yes","Yesv5","Yes","Yes(2.6)","Yes"
"Windows8","Yes","Yes","Yes","No","Yes","Yesv5","Yes","Yes(2.6)","No"
"Windows8.1","Yes","Yes","Yes","No","Yes","Yesv5","Yes","Yes(2.6)","Yes"
"WindowsServer2012R2","Yes","Yes","Yes","No","Yes","Yesv5","Yes","Yes(2.6)","Yes"
"Windows10","Yes","Yes","Yes","No","Yes","Yesv5","Yes","Yes(2.6)","Yes"
"WindowsServer2016","Yes","Yes","Yes","No","Yes","Yesv5","Yes","Yes(2.6)","Yes"
