"Name","Operatingsystem","License","Userinterface","Fixeddrives","USB,eSATAandremovabledrives","RAIDsupport","ShowsS.M.A.R.T.attributes","Harddriveself-testing","Notification","Notes"
"AIDA64","Windows","Trialware","GUI","(S)ATA","mostUSB","SomeRAIDcontrollers","Yes","No","MonitoringonlyavailableintheBusinessEdition",""
"ArgusMonitor","Windows","Trialware","GUI","IDE(PATA),SATA","eSATA,USB","SomeRAIDcontrollers","Yes","?","Bywindow,sound,email,programexecutionatchoosableparameterchanges,threshold","AlsoshowstemperatureofCPU,GPU,CPUcorespeed,IntelTurboBooststatus,CPUpowerconsumption,systemloadandsystemfanspeeds.CancontrolspeedofGPUandsystemfans."
"CrystalDiskInfo","Windows","MIT","GUI","IDE(PATA),SATA,NVMe","eSATA,USB,IEEE1394","SeveralRAIDcontrollers","Yes","No","Mail,soundandpopup","SisterutilitytoCrystalDiskMark.HasAAM/APMcontrol."
"Defraggler","Windows","Freeware","GUI","IDE(PATA),SATA","eSATA,USB","No","Yes","No","No","Primarilyadefragmenter;supportsbasicS.M.A.R.T.statdisplay,includestheone-wordsummaryofdrive-health."
"DiskUtility","macOS","Commercialproprietary","GUI","No","eSATAandremovabledrives","?","No","No","No","SummaryinformationincludesonelineforS.M.A.R.T."
"HDDExpert","Windows","Freeware","GUI","IDE(PATA),SATA","?","?","Yes","Yes","Yes","AvailablefromKCSoftwares"
"GNOMEDisks","Linux","LGPLv2+","GUI","IDE(PATA),SATA","USB(whenusedwithLiveCD)","?","Yes","Yes","GNOMEpop-upnotification","LiveCDsareavailablefordownload,allowingtheusertouseGNOMEDiskswithoutanychangestothecomputer."
"smartmontools","Windows,Unix-like(Linux,macOS,BSD,etc.)","GNUGPLv2","CLIandGUI(viaGSmartControlandHDDGuardian)","AllforLinux,someforotherUnix-like","Seelistofsupporteddevices;SATdriverrequiredonmacOSonly","SeveralRAIDcontrollers","Yes","Yes","window,sound,email,programexecutionatchoosableparameterchanges,threshold","LiveCDsareavailablefordownload,allowingtheusertousesmartmontoolswithoutanychangestothecomputer."
"Speccy","Windows","Freeware","GUI","IDE(PATA),SATA","No","?","Yes","No","No",""
"SpeedFan","Windows","Freeware","GUI","(S)ATA,SCSI,SAT;Areca,3ware","Yes","SomeRAIDcontrollers","Yes","Yes","Window,sound,e-mail,runningacommand;atparameterchanges,threshold,temperature","Estimatehealthandperformancebypercentage,andoffersonlinedriveanalysis(andcomparesfromotherusers)."
"SpinRite","DOS,FreeDOS","Commercialproprietary","GUI","?","?","?","Yes","Yes","No",""
"Name","Operatingsystem","License,price","Userinterface","Fixeddrives","USB,eSATAandremovabledrives","RAIDsupport","ShowsS.M.A.R.T.attributes","Harddriveself-testing","Notification","Notes"
