"Implementation","Application-defined","PKIXpathvalidation","CRL","OCSP","DANE(DNSSEC)","TrustonFirstUse(TOFU)","CT"
"Botan","Yes","Yes","Yes","Yes","No","No","Unknown"
"BouncyCastle","Yes","Yes","Yes","Yes","Yes","No","Unknown"
"BSAFE","Yes","Yes","Yes","Yes","No","No","Unknown"
"cryptlib","Yes","Yes","Yes","Yes","No","No","Unknown"
"GnuTLS","Yes","Yes","Yes","Yes","Yes","Yes","Unknown"
"JSSE","Yes","Yes","Yes","Yes","No","No","No"
"LibreSSL","Yes","Yes","Yes","Yes","No","No","Unknown"
"MatrixSSL","Yes","Yes","Yes","Yes","No","No","Unknown"
"MbedTLS","Yes","Yes","Yes","No","No","No","Unknown"
"NSS","Yes","Yes","Yes","Yes","No","No","Unknown"
"OpenSSL","Yes","Yes","Yes","Yes","Yes","No","Yes"
"SChannel","Unknown","Yes","Yes","Yes","No","No","Unknown"
"SecureTransport","Yes","Yes","Yes","Yes","No","No","Unknown"
"wolfSSL","Yes","Yes","Yes","Yes","No","No","Unknown"
"Erlang/OTPSSLapplication","Yes","Yes","Yes","No","No","No","Unknown"
"Implementation","Application-defined","PKIXpathvalidation","CRL","OCSP","DANE(DNSSEC)","TrustonFirstUse(TOFU)","CT"
