"Filesystem","Sparsefiles","Blocksuballocation","Tailpacking","Extents","Variablefileblocksize","Allocate-on-flush","Copyonwrite","Trimsupport"
"DECtape","No","No","No","No","No","No","No","No"
"BeeGFS","Yes","No","No","Yes","Yes","Yes","Yes","?"
"Level-D","No","No","No","Yes","No","No","No","?"
"APFS","Yes","?","?","Yes","?","Yes","Yes","Yes"
"Version6Unixfilesystem(V6FS)","Yes","No","No","No","No","No","?","No"
"Version7Unixfilesystem(V7FS)","Yes","No","No","No","No","No","?","No"
"exFAT","No","No","No","Partial(onlyifthefilefitsintoonecontiguousblockrange)","No","No","No","Yes(Linux)"
"FAT12","Partial(onlyinsideofcompressedvolumes)","Partial(onlyinsideofStacker3/4andDriveSpace3compressedvolumes)","No","Partial(onlyinsideofcompressedvolumes)","No","No","No","Yes(Linux)"
"FAT16/FAT16B/FAT16X","Partial(onlyinsideofcompressedvolumes)","Partial(onlyinsideofStacker3/4andDriveSpace3compressedvolumes)","No","Partial(onlyinsideofcompressedvolumes)","No","No","No","Yes(Linux)"
"FAT32/FAT32X","No","No","No","No","No","No","No","Yes(Linux)"
"GFS","Yes","No","Partial","No","No","No","?","Yes"
"HPFS","No","No","No","Yes","No","No","?","Yes(Linux)"
"NTFS","Yes","Partial","No","Yes","No","No","?","Yes(NT6.1+;Linux)"
"HFSPlus","No","No","No","Yes","No","No","?","Yes(macOS)"
"FFS","Yes","8:1","No","No","No","No","?","No"
"UFS1","Yes","8:1","No","No","No","No","?","No"
"UFS2","Yes","8:1","No","No","Yes","No","?","Yes"
"LFS","Yes","8:1","No","No","No","No","Yes","?"
"ext","Yes","No","No","No","No","No","No","No"
"Xiafs","Yes","No","No","No","No","No","?","?"
"ext2","Yes","No","No","No","No","No","No","Yes"
"ext3","Yes","No","No","No","No","No","No","Yes"
"ext4","Yes","No","No","Yes","No","Yes","No","Yes"
"NOVA","Yes","No","No","Yes","No","No","Yes","?"
"F2FS","Yes","No","No","Partial","No","Yes","Yes","Yes"
"Lustre","Yes","No","No","Yes","No","Yes","?","?"
"NILFS","Yes","No","No","No","No","Yes","Yes","Yes(LinuxNILFS2)"
"ReiserFS","Yes","Yes","Yes","No","No","No","?","?"
"Reiser4","Yes","Yes","Yes","Yes","No","Yes","?","Testing"
"OCFS","?","No","No","Yes","No","No","?","?"
"OCFS2","Yes","No","No","Yes","No","No","?","Yes(Linux)"
"XFS","Yes","No","No","Yes","No","Yes","Yes,onrequest","Yes(Linux)"
"JFS","Yes","Yes","No","Yes","No","No","?","Yes(Linux)"
"QFS","?","Yes","No","No","No","No","?","?"
"BFS","?","No","No","Yes","No","No","?","Yes(Haiku)"
"NSS","?","No","No","Yes","No","Yes","?","?"
"NWFS","?","Yes","No","No","No","No","?","?"
"ODS-5","?","No","No","Yes","No","No","?","?"
"VxFS","Yes","?","No","Yes","No","No","?","?"
"UDF","Yes","No","No","Yes","No","?","Yes,forwriteoncereadmanymedia","No"
"Fossil","?","No","No","No","No","No","?","?"
"ZFS","Yes","Yes","No","No","Yes","Yes","Yes","Yes"
"Btrfs","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"VMFS2","Yes","Yes","No","No","No","No","?","?"
"VMFS3","Yes","Yes","No","No","No","No","?","?"
"ReFS","Yes","?","?","?","No","?","Yes","Yes(NT6.1+)"
"ISO9660","No","No","No","Yes","No","No","No","No"
"RockRidge","No","No","No","Yes","No","No","No","No"
"Joliet(""CDFS"")","No","No","No","Yes","No","No","No","No"
"SquashFS","Yes","No","Yes","No","No","No","No","No"
"BlueStore/Cephfs","Yes","?","?","?","?","No","Yes","Yes"
"Filesystem","Sparsefiles","Blocksuballocation","Tailpacking","Extents","Variablefileblocksize","Allocate-on-flush","Copyonwrite","Trimsupport"
