"Functionobject","MSHTML","Gecko","WebKit","Presto","Blink"
"Calledasfunction","Calledasfunction","Calledasfunction","Calledasfunction","Calledasfunction","Calledasfunction"
"Function([[p1[,p2[,...]],]body])","?","Yes","Yes","?","Yes"
"Calledasconstructor","Calledasconstructor","Calledasconstructor","Calledasconstructor","Calledasconstructor","Calledasconstructor"
"newFunction([[p1[,p2[,...]],]body])","4.0","1.0","Yes","1.0","Yes"
"Properties","Properties","Properties","Properties","Properties","Properties"
"length","?","1.0","Yes","Yes","Yes"
"prototype","4.0","1.0","Yes","1.0","Yes"
"Propertiesofprototype","Propertiesofprototype","Propertiesofprototype","Propertiesofprototype","Propertiesofprototype","Propertiesofprototype"
"length","?","1.0","Yes","?","Yes"
"constructor","4.0","1.0","Yes","1.0","Yes"
"toString()","4.0","1.0","Yes","1.0","Yes"
"apply(thisArg,argArray)","4.0","1.0","Yes","1.0","Yes"
"call(thisArg[,arg1[,arg2[,...]]])","4.0","1.0","Yes","1.0","Yes"
"Propertiesofinstances","Propertiesofinstances","Propertiesofinstances","Propertiesofinstances","Propertiesofinstances","Propertiesofinstances"
"length","4.0","1.0","Yes","1.0","Yes"
"prototype","4.0","1.0","Yes","1.0","Yes"
