"Language","Language","Apertium","OpenLogos","Moses","GramTrans","SYSTRAN","IdiomaX"
"ToEnglish","ArabictoEnglish","No","No","No","No","Yes","No"
"ToEnglish","CatalantoEnglish","Yes","No","Yes","No","No","No"
"ToEnglish","Chinese(Simplified)toEnglish","No","No","No","No","Yes","No"
"ToEnglish","Chinese(Traditional)toEnglish","No","No","No","No","Yes","No"
"ToEnglish","CzechtoEnglish","No","No","Yes","No","Yes","No"
"ToEnglish","DanishtoEnglish","No","No","Yes","Yes","Yes","No"
"ToEnglish","DutchtoEnglish","No","No","Yes","No","Yes","No"
"ToEnglish","EsperantotoEnglish","Yes","No","Yes","No","No","No"
"ToEnglish","EstoniantoEnglish","No","No","Yes","No","Yes","No"
"ToEnglish","FinnishtoEnglish","No","No","Yes","No","Yes","No"
"ToEnglish","FrenchtoEnglish","No","No","Yes","No","Yes","Yes"
"ToEnglish","GaliciantoEnglish","Yes","No","Yes","No","No","No"
"ToEnglish","GermantoEnglish","No","Yes","Yes","No","Yes","No"
"ToEnglish","GreektoEnglish","No","No","Yes","No","Yes","No"
"ToEnglish","HinditoEnglish","No","No","No","No","Yes","No"
"ToEnglish","HungariantoEnglish","No","No","Yes","No","Yes","No"
"ToEnglish","IrishtoEnglish","No","No","Yes","No","No","No"
"ToEnglish","ItaliantoEnglish","No","No","Yes","No","Yes","Yes"
"ToEnglish","JapanesetoEnglish","No","No","No","No","Yes","No"
"ToEnglish","KoreantoEnglish","No","No","No","No","Yes","No"
"ToEnglish","LatviantoEnglish","No","No","Yes","No","Yes","No"
"ToEnglish","LithuaniantoEnglish","No","Yes","No","Yes","No","No"
"ToEnglish","MacedoniantoEnglish","Yes","No","Yes","No","No","No"
"ToEnglish","MaltesetoEnglish","No","No","Yes","No","No","No"
"ToEnglish","NorwegiantoEnglish","No","No","Yes","Yes","Yes","No"
"ToEnglish","PersiantoEnglish","No","No","No","No","Yes","No"
"ToEnglish","PolishtoEnglish","No","No","Yes","No","Yes","No"
"ToEnglish","PortuguesetoEnglish","No","No","Yes","Yes","Yes","No"
"ToEnglish","RomaniantoEnglish","No","No","Yes","No","Yes","No"
"ToEnglish","RussiantoEnglish","No","Yes","Yes","Yes","Yes","Yes"
"ToEnglish","Serbo-CroatiantoEnglish","Yes","No","Yes","No","No","No"
"ToEnglish","SlovaktoEnglish","No","No","Yes","No","Yes","No"
"ToEnglish","SlovenetoEnglish","No","No","Yes","No","Yes","No"
"ToEnglish","SpanishtoEnglish","Yes","No","Yes","No","Yes","Yes"
"ToEnglish","SwedishtoEnglish","No","No","Yes","Yes","Yes","No"
"ToEnglish","TurkishtoEnglish","No","No","No","No","Yes","No"
"ToEnglish","UkrainiantoEnglish","No","No","Yes","No","Yes","No"
"ToEnglish","WelshtoEnglish","Yes","No","Yes","No","No","No"
"Language","Language","Apertium","OpenLogos","Moses","GramTrans","SYSTRAN","IdiomaX"
"ToChinese(Simplified)","EnglishtoChinese(Simplified)","No","No","No","Yes","Yes","No"
"ToChinese(Traditional)","EnglishtoChinese(Traditional)","No","No","No","No","Yes","No"
"ToCrimeanTatar","TurkishtoCrimeanTatar","Yes","No","No","No","No","No"
"ToDutch","EnglishtoDutch","No","?","Yes","Yes","Yes","No"
"ToDutch","FrenchtoDutch","No","No","Yes","No","Yes","No"
"ToFrench","EnglishtoFrench","No","Yes","Yes","No","Yes","Yes"
"ToFrench","GermantoFrench","No","?","Yes","No","Yes","No"
"ToFrench","SpanishtoFrench","Yes","No","Yes","Yes","Yes","Yes"
"ToFrench","CatalantoFrench","Yes","No","Yes","No","No","No"
"ToFrench","RussiantoFrench","No","Yes","Yes","No","No","Yes"
"ToFrench","DutchtoFrench","No","No","Yes","No","Yes","No"
"ToFrench","ItaliantoFrench","?","?","Yes","?","Yes","Yes"
"ToFrench","BretontoFrench","Yes","No","Yes","No","No","No"
"ToGalician","EnglishtoGalician","Yes","?","Yes","No","No","No"
"ToGalician","PortuguesetoGalician","Yes","No","Yes","No","No","No"
"ToGalician","SpanishtoGalician","Yes","No","Yes","No","No","No"
"ToGerman","EnglishtoGerman","No","Yes","Yes","No","Yes","No"
"ToGerman","FrenchtoGerman","No","No","Yes","No","Yes","No"
"ToGerman","SpanishtoGerman","No","No","Yes","No","Yes","No"
"ToGerman","RussiantoGerman","No","No","No","No","No","No"
"ToGerman","ItaliantoGerman","?","?","Yes","?","Yes","Yes"
"ToItalian","EnglishtoItalian","No","Yes","Yes","No","Yes","Yes"
"ToItalian","SpanishtoItalian","No","?","Yes","?","Yes","Yes"
"ToItalian","FrenchtoItalian","No","?","Yes","?","Yes","Yes"
"ToItalian","GermantoItalian","No","?","Yes","?","Yes","Yes"
"ToJapanese","EnglishtoJapanese","No","No","No","No","Yes","No"
"ToKorean","EnglishtoKorean","No","No","No","Yes","Yes","No"
"ToPortuguese","EnglishtoPortuguese","No","Yes","Yes","No","Yes","No"
