"Name","Codereview","Bugtracking","Webhosting","Wiki","Translationsystem","Shellserver","Mailinglist","Forum","Personalrepository","Privaterepository","Announce","Buildsystem","Team","Releasebinaries","Self-hosting"
"Assembla","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Unknown","No"
"AzureDevOpsServices","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Commercially(AzureDevOpsServer)"
"Bitbucket","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No","Yes","Yes","No","Commercially(BitbucketServerformerlyStash)"
"Buddy","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"CloudForge","Unknown","Yes","Yes","Yes","No","No","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No"
"GForge","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Gitea","Yes","Yes","No","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","3rd-party(e.g.TravisCI,Appveyorandothers)","Yes","Yes","Yes"
"GitHub","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Commercially(GitHubEnterprise)"
"GitLab","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"GNUSavannah","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","Yes","No","Yes","Unknown","Yes"
"HelixTeamHub","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes,withhooks.Jenkins,TeamCity,etc.","No","Yes","Yes"
"java.net/ProjectKenai","Unknown","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","No"
"Kallithea","Yes","No","Yes","No","No","Unknown","No","No","Yes","Yes","No","No","Yes","Yes","Yes"
"Launchpad","Yes","Yes","No","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Unknown","Yes"
"OSDN","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No"
"Ourproject.org","Unknown","Yes","Yes","Yes","No","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes"
"Phabricator","Yes","Yes","Yes","Yes","Unknown","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes"
"RhodeCode","Yes","No","Yes","No","No","Unknown","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes"
"SourceForge","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"ProgramOnChain","Yes","No","Yes","No","No","No","No","Yes","Yes","Yes","Unknown","Yes","Yes","No","Yes"
"Name","Codereview","Bugtracking","Webhosting","Wiki","Translationsystem","Shellserver","Mailinglist","Forum","Personalrepository","Privaterepository","Announce","Buildsystem","Team","Releasebinaries","Self-hosting"
