"Engine","Origin","Designer","Vehicle","Use","Propellant","Powercycle","Specificimpulse(s)","Thrust(N)","Mass(kg)","Thrust:weightratio","Chamberpressure(bar)","Oxidiser:fuelratio"
"AerojetM-1","USA","Aerojet","Nova?","1st,2nd?","LH2?/?LOX","Gasgenerator","428(SL)","6,670,000","9,068","60","?",""
"Aestus","Europe","AirbusDefenceandSpace","Ariane5G,G+,ES","Upper","N2O4?/?MMH","Pressure-fed","324","30,000","111","27.6","11","1.9"
"AestusII","Europe","AirbusDefenceandSpace","Ariane5","Upper","N2O4?/?MMH","Gasgenerator","340","55,400","138","41.0","60","1.9"
"AJ-60A","USA","Aerojet","AtlasV","Booster","HTPB","Solidfuel","275","1,270,000","","","",""
"AJ-260-2","USA","Aerojet","S-Istagereplacement(proposed)","1st","PBAN","Solidfuel","263s","26,183,755","831,345,withfuel","","",""
"F-1","USA","Rocketdyne","SaturnV","1st","RP-1?/?LOX","Gasgenerator","304263(SL)","7,770,0006,770,000(SL)","8,391","82.27","70","2.27"
"F-1A","USA","Rocketdyne","","1st","RP-1?/?LOX","Gasgenerator","303270(SL)","8,989,0008,007,000(SL)","9,015","90.6","80","2.27"
"Gamma2","UnitedKingdom","BristolSiddeley","BlackArrow","2nd","RP-1?/?H2O2","Staged,decompositionandcombustion","265","68,200","173","40.22","","8"
"Gamma8","UnitedKingdom","BristolSiddeley","BlackArrow","1st","RP-1?/?H2O2","Staged,decompositionandcombustion","265","234,800","342","70.01","47.40","8"
"HM-7A","Europe","Snecma","Ariane1","3rd","LH2?/?LOX","Gasgenerator","443308(SL)","61,700","149","42.2","30","5"
"J-2","USA","Rocketdyne","SaturnV,IB","2nd,3rd","LH2?/?LOX","Gasgenerator","421200(SL)","1,033,100486,200(SL)","1,438","73.18","30","5.5"
"J-2X","USA","Pratt&WhitneyRocketdyne","SLS(proposed)","Upper","LH2?/?LOX","Gasgenerator","448","1,310,000","2,470","58.41","95","5.5–4.5"
"Kestrel","USA","SpaceX","Falcon1","Upper","RP-1?/?LOX","Pressurefed","317","31,000","52","65","9.3",""
"LE-5","Japan","Mitsubishi,NASDA","H-I","Upper","LH2?/?LOX","Gasgenerator","450","103,000","245","42.87","36.0","5.5"
"LE-5A","Japan","Mitsubishi,NASDA","H-II","Upper","LH2?/?LOX","Expander,open","452","121,500","242","51.19","40.0","5"
"LE-7","Japan","Mitsubishi,NASDA","H-II","1st","LH2?/?LOX","Stagedcombustion","446","1,078,000843,500(SL)","1,714","64.13","127","5.9"
"Merlin1D","USA","SpaceX","Falcon9v1.1","1st","RP-1?/?LOX","Gasgenerator","311282(SL)","723,000","470","158","97","2.34"
"MerlinVacuum1C","USA","SpaceX","Falcon1,9","2nd","RP-1?/?LOX","Gasgenerator","336","413,644","","92","",""
"RD-012011?122","SovietUnion","KBKhA","Energia","1st","LH2?/?LOX","Staged,fuel-rich","455","1,962,0001,526,000(SL)","3,450","57.80","219",""
"RD-8,11D513","SovietUnion","Pivdenne/Pivdenmash","Zenit","2ndvernier","RP-1?/?LOX","Staged,oxidizer-rich","342","78,450","356","","77.47","2.4"
"RD-56(KVD-1)11?56?","Russia","KBKhM","GSLVMkI","Upper","LH2?/?LOX","Staged,fuel-rich","462","69,626","282","25.17","55.9",""
"RD-11711?511","SovietUnion","NPOEnergomash","Soyuz-U","1st","RP-1?/?LOX","Gasgenerator","316253(SL)","978,000778,648(SL)","1,100","72.18","54.2",""
"RD-11811?512","SovietUnion","NPOEnergomash","Soyuz-U","2nd","RP-1?/?LOX","Gasgenerator","314257(SL)","1,000,278818,855(SL)","1,100","75.91","59.7",""
"RD-17011?521","SovietUnion","NPOEnergomash","Energia","1st","RP-1?/?LOX","Staged,oxidizer-rich","337.2309.5(SL)","7,904,1607,256,921(SL)","9,300","79.57","250",""
"RD-26411?119","SovietUnion","NPOEnergomash","Dnepr","1st","N2O4?/?UDMH","Staged,oxidizer-rich","318293(SL)","4,521,000","3,600","128.15","206"
"RD-27514?14","Russia","NPOEnergomash","Proton-M","1st","N2O4?/?UDMH","Staged,oxidizer-rich","316287(SL)","1,831,8821,671,053(SL)","1,070","171.2","160.0",""
"RD-8548D612","SovietUnion","Pivdenne/Pivdenmash","R-36ORB","3rd","N2O4?/?UDMH","Gasgenerator","","","","",""
"RD-8558D68M","SovietUnion","Pivdenne/Pivdenmash","Tsyklon-2,-3,R-36","1stvernier","N2O4?/?UDMH","Gasgenerator","","328,000","320","","65.70","1.97"
"RD-8568D69M","SovietUnion","Pivdenne/Pivdenmash","Tsyklon-2,-3(-4),R-36","2ndvernier","N2O4?/?UDMH","Gasgenerator","","54,230","112.5","","71.60","1.98"
"RD-86111D25","SovietUnion","Pivdenne/Pivdenmash","Tsyklon-2,-3","3rd","N2O4?/?UDMH","Gasgenerator","","78,710","123","","88.8","2.1"
