"Exampleusage","Languages"
"String.Trim([chars])","C#,VB.NET,WindowsPowerShell"
"string.strip();","D"
"(.trimstring)","Clojure"
"sequence[predicate?]trim","Factor"
"(string-trim'(#\Space#\Tab#\Newline)string)","CommonLisp"
"(string-trimstring)","Scheme"
"string.trim()","Java,JavaScript(1.8.1+,Firefox3.5+),Rust"
"Trim(String)","Pascal,QBasic,VisualBasic,Delphi"
"string.strip()","Python"
"strings.Trim(string,chars)","Go"
"LTRIM(RTRIM(String))","OracleSQL,T-SQL"
"strip(string[,option,char])","REXX"
"string:strip(string[,option,char])","Erlang"
"string.striporstring.lstriporstring.rstrip","Ruby"
"string.trim","Raku"
"trim(string)","PHP,Raku"
"[stringstringByTrimmingCharactersInSet:[NSCharacterSetwhitespaceAndNewlineCharacterSet]]","Objective-CusingCocoa"
"stringwithBlanksTrimmedstringwithoutSpacesstringwithoutSeparators","Smalltalk(Squeak,Pharo)Smalltalk"
"strip(string)","SAS"
"stringtrim$string","Tcl"
"TRIM(string)orTRIM(ADJUSTL(string))","Fortran"
"TRIM(string)","SQL"
"TRIM(string)orLTrim(string)orRTrim(String)","ColdFusion"
"String.trimstring","OCaml4+"
