"Software","Collaborativesoftware","Issuetrackingsystem","Scheduling","Projectportfoliomanagement","Resourcemanagement","Documentmanagement","Workflowsystem","Reportingandanalyses"
"24SevenOffice","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Actionspace","Yes","Yes","Yes","No","No","No(IntegrateswithSharePoint)","Yes","Yes"
"AnyChart(AnyGantt)","Yes","No","Yes","Yes","Yes","No","Yes","Yes"
"ApacheAllura","Yes","Yes","No","Yes","Yes","Yes","No","No"
"ApacheOFBiz","Unknown","No","Yes","Yes","Yes","Yes","No","Unknown"
"ApacheBloodhound","Yes","Yes","No","No","No","No","Yes","No"
"Asana","Yes","No","Yes","Yes","Yes","No","Yes","Yes"
"Assembla","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Axosoft","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Basecamp","Yes","No","No","No","Yes","Yes","No","No"
"BigGantt","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"BigPicture","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"CalligraPlan","No","No","Yes","No","Yes","No","No","No"
"CEITON","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Clarizen","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ConceptDrawProject","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"CopperProject","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"dotProject","Yes","Yes","No","Yes","Yes","Yes","No","Yes"
"DynaRoad","No","No","Yes","No","Yes","No","Yes","Yes"
"Easyprojects","Yes","Yes","Yes","Yes","Yes","No","No","Yes"
"EndeavourSoftwareProjectManagement","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"eGroupWare","Yes","Yes","No","Yes","Yes","Yes","No","No"
"enQuire","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"FastTrackSchedule","Yes","No","Yes","Yes","Yes","No","Yes","Yes"
"FengOfficeCommunityEdition","Yes","No","Yes","Yes","No","Yes","No","No"
"FinancialForce.com","No","No","Yes","No","Yes","No","No","Yes"
"FogBugz","Yes","Yes","Yes","No","Yes","No","Yes","Yes"
"Fossil-scm","Yes","Yes","No","No","No","No","No","No"
"Freedcamp","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"GanttProject","No","No","Yes","No","Yes","No","No","No"
"GeniusProject","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Goalscape","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"Group-Office","Yes","No","Yes","No","No","Yes","No","No"
"GroveSite","Yes","Yes","Yes","Yes","No","Yes","No","No"
"Hall.com","Yes","No","No","No","Yes","Yes","No","No"
"HelixALM","Yes","Yes","No","No","No","No","Yes","Yes"
"HeySpace","Yes","Yes","Yes","Yes","No","No","No","No"
"HPProject&PortfolioSoftware","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Huddle","Yes","No","No","No","No","Yes","No","No"
"Hyperoffice","Yes","No","No","No","No","Yes","No","No"
"iManageProject","Yes","No","No","No","Yes","Yes","No","No"
"InLoox","Yes","Yes","Yes","No","Yes","Yes","No","Yes"
"in-StepBLUE","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"IRise","Yes","Yes","Yes","No","No","No","Yes","Yes"
"Jira","Yes","Yes","Yes","No","No","No","Yes","Yes"
"Launchpad","Yes","Yes","No","Yes","No","No","No","No"
"LibrePlan","Yes","No","Yes","No","Yes","No","No","Yes"
"LiquidPlanner","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"LisaProject","No","No","Yes","No","Yes","No","No","No"
"MacProject","No","No","Yes","No","Yes","No","No","No"
"MantisBT","No","Yes","No","No","No","No","No","No"
"Métier","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"MicrosoftDynamicsAX","Yes","No","Yes","No","Yes","Yes","Yes","Yes"
"MicrosoftOfficeProjectServer","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"MicrosoftProject","No","No","Yes","No","Yes","No","No","Yes"
"MicrosoftSharePointServer","Yes","Yes","Yes","No","No","Yes","Yes","No"
"MicrosoftTeamFoundationServer","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"MilestonesProfessional","No","Yes","Yes","No","No","Yes","No","No"
"MyWorkPLAN","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"NetPoint","No","No","Yes","No","Yes","No","No","No"
"NetSuite","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"O3Spaces","Yes","No","No","No","No","Yes","No","No"
"OnePagerPro","Yes","No","Yes","Yes","Yes","Yes","No","Yes"
"OmniPlan","Yes","No","Yes","No","Yes","No","No","Yes"
"OpenWorkbench","No","No","Yes","No","Yes","No","No","No"
"OpenProj","No","No","Yes","No","Yes","No","No","No"
"OpenProject","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes(viaOpenProjectplug-ins)"
"OraclePrimaveraEPPM(PrimaveraP6)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"phpGroupWare","Yes","Yes","No","Unknown","Yes","Yes","No","No"
"PHProjekt","Yes","Yes","Yes","No","No","No","No","No"
"PivotalTracker","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"Plandora","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Planisware","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"PLANTAProject","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ProjectKickStart","No","No","Yes","No","Yes","Yes","Yes","Yes"
"ProjectTeamBuilder","Yes","No","Yes","Yes","Yes","No","Yes","Yes"
"ProjectLibre","No(EnterpriseProjectLibreandPPMLibreunderdevelopment)","No","Yes","No(EnterpriseProjectLibreandPPMLibreunderdevelopment)","Yes","No","No","Yes"
"ProjectLink","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ProjectManager.com","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Project.net","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ProjectorPSA","No","No","Yes","No","Yes","Yes","Yes","Yes"
"Projectplace","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"ProjektronBCS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ProjeQtOr","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Proliance","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Prolog","Yes","Yes","No","Yes","No","Yes","Yes","Yes"
"Pyrus","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"RationalPlan","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Realisor","Yes","No","Yes","Yes","Yes","No","No","Yes"
"Redbooth","Yes","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown"
"Redmine","Yes","Yes","Yes","Yes","No","Yes","Yes","No"
"RillsoftProject&IntegrationServer","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"SAPBusinessByDesign","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Sciforma","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Scoro","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Severa","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Smartsheet","Yes","Yes","Yes","No","Yes","Yes","No","Yes"
"SpiderProject","No","No","Yes","Yes","Yes","No","No","Yes"
"StreamtimeSoftware","Yes","No","Yes","Yes","Yes","No","Yes","Yes"
"TACTIC","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Talygen","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"TaskJuggler","Yes","No","Yes","No","Yes","No","No","No"
"Teamcenter","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"TeamDynamixHE","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
