"Software","BibTeX","Endnote/Refer/BibIX","Medline","MODSXML","RIS","Other"
"Bebop","Yes","No","No","No","No","unAPI"
"BibBase","Yes","No","No","No","No","none"
"BibDesk","Yes","No","Yes","Yes","Yes","EndnoteXML,usercustomizable"
"Biblioscape","?","?","?","?","?","?"
"BibSonomy","Yes","Yes","No","No","Yes","various[2]"
"Bibus","Yes","Yes","Yes","No","Yes","SQLite"
"Bookends","Yes","Yes","Yes","No","Yes","varioususer-customizable"
"Citavi","Yes","Yes","Yes","Yes","Yes","NVivoandvariousothers"
"CiteULike","Yes","No","No","No","Yes","COinS,Delicious"
"colwiz","Yes","Yes","No","Yes","Yes","EndNoteXML,CSLformattedHTML"
"EndNote","Yes","Yes","Yes","No","Yes","various"
"JabRef","Yes","Yes","No","Yes","Yes","BibTeXML,DocBook,HTML,OpenDocumentforOO.o,RTF,SQLdatabase,user-customizable"
"KBibTeX","Yes","Yes","No","Depends","Yes","PDF,PostScript,HTML,XML,RTF"
"Mendeley","Yes","Yes","No","No","Yes","EndnoteXML"
"Paperpile","Yes","No","No","No","Yes","none"
"Pybliographer","Yes","Yes","Yes","No","No","Ovid"
"Qiqqa","Yes","No","No","No","No","none"
"ReadCube(nowPapers)","Yes","Yes","No","No","Yes","none"
"refbase","Yes","Yes","No","Yes","Yes","COinS,OpenDocumentforOO.o,SRWXMLviaSRU,unAPI,WordXML"
"RefDB","Yes","Yes","No","Yes","Yes","SRWXMLviaSRUwebservice,DocBook,TEI"
"ReferenceManager","No","No","No","No","Yes","MEDLARS,TSV,CSV,ReferenceManagerXML,user-customizable"
"Referencer","Yes","No","No","No","No","none"
"RefME","?","?","?","?","?","?"
"RefWorks","Yes","Yes","No","Yes","Yes","RIS,BibTeX,TabdelimitedorXMLmetadata"
"SciRef","No","No","No","No","Yes","Plaintext,RTF"
"Sente","Yes","Yes","No","No","Yes","user-customizable"
"Wikindx","Yes","Yes","No","No","Yes","COinS,HTML,PubMed,RTF"
"WizFolio","No","No","No","No","Yes","No"
"Zotero","Yes","Yes","asofversion4.0","Yes","Yes","COinS,CSV,SeveralRDFformatstandards,TEI,Wikipediacitationtemplates,EndnoteXML,CSLJSON,Refer/BiblX,RefWorkstagged"
