"","R-/R+tree","Hash","Expression","Partial","Reverse","Bitmap","GiST","GIN","Full-text","Spatial","FOT","Duplicateindexprevention"
"4thDimension","?","Cluster","?","?","?","?","?","?","Yes","?","?","No"
"ADABAS","?","?","?","?","?","?","?","?","?","?","?","No"
"AdaptiveServerEnterprise","No","No","Yes","No","Yes","No","No","No","Yes","?","?","No"
"AdvantageDatabaseServer","No","No","Yes","No","Yes","Yes","No","No","Yes","?","?","No"
"ApacheDerby","No","No","No","No","No","No","No","No","No","?","?","No"
"ClustrixDB","No","Yes","No","No","No","No","No","No","No","No","?","No"
"CUBRID","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No"
"DB2","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","?","?","No"
"EmpressEmbeddedDatabase","Yes","No","No","Yes","No","Yes","No","No","No","?","?","No"
"EXASolution","No","Yes","No","No","No","No","No","No","No","?","?","No"
"Firebird","No","No","Yes","No","Yes","No","No","No","No","?","?","No"
"HSQLDB","No","No","No","No","No","No","No","No","No","?","?","No"
"H2","No","Yes","No","No","No","No","No","No","Yes","Yes","?","No"
"InformixDynamicServer","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Ingres","Yes","Yes","Ingresv10","No","No","Ingresv10","No","No","No","?","?","No"
"InterBase","No","No","No","No","No","No","No","No","No","?","?","No"
"LinterSQLRDBMS","No","Yestemporaryindexesforequalityjoins","YesforsomescalarfunctionslikeLOWERandUPPER","No","No","No","No","No","Yes","No","No","Yes"
"LucidDB","No","No","No","No","No","Yes","No","No","No","?","?","No"
"MariaDB","AriaandMyISAMtablesand,sincev10.2.2,InnoDBtablesonly","MEMORY,InnoDB,tablesonly","PERSISTENTvirtualcolumnsonly","No","No","No","No","No","Yes","AriaandMyISAMtablesand,sincev10.2.2,InnoDBtablesonly","?","No"
"MaxDB","No","No","No","No","No","No","No","No","No","?","?","No"
"MicrosoftAccess(JET)","No","No","No","No","No","No","No","No","No","?","?","No"
"MicrosoftVisualFoxpro","No","No","Yes","Yes","Yes","Yes","No","No","No","?","?","No"
"MicrosoftSQLServer","SpatialIndexes","Yes","Yes","Yes","onComputedcolumns","BitmapfilterindexforStarJoinQuery","No","No","Yes","Yes","?","No"
"MicrosoftSQLServerCompact(EmbeddedDatabase)","No","No","No","No","No","No","No","No","No","?","?","No"
"MimerSQL","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No"
"MonetDB","No","Yes","No","No","No","No","No","No","No","No","No","No"
"MySQL","SpatialIndexes","MEMORY,Cluster(NDB),InnoDB,tablesonly","No","No","No","No","No","No","MyISAMtablesand,sincev5.6.4,InnoDBtables","MyISAMtablesand,sincev5.7.5,InnoDBtables","?","No"
"OpenLinkVirtuoso","Yes","Cluster","Yes","Yes","No","Yes","No","No","Yes","Yes(Commercialonly)","No","No"
"Oracle","Yes","ClusterTables","Yes","Yes","Yes","Yes","No","No","Yes","Yes","?","Yes"
"OracleRdb","No","Yes","?","No","No","?","No","No","?","?","?","No"
"PervasivePSQL","No","No","No","No","No","No","No","No","No","No","No","No"
"PolyhedraDBMS","No","Yes","No","No","No","No","No","No","No","No","?","No"
"PostgreSQL","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","PostGIS","No","No"
"RaimaDatabaseManager","Yes","Yes","No","Yes","Yes","No","No","No","No","Yes","No","No"
"RDMServer","No","No","No","Yes","Yes","No","No","No","No","No","No","No"
"SAPHANA","?","?","?","?","?","?","?","?","?","?","?","No"
"solidDB","No","No","No","No","Yes","No","No","No","No","No","No","No"
"SQLAnywhere","No","No","Yes","No","No","No","No","No","Yes","Yes","?","Yes"
"SQLite","Yes","No","Yes","Yes","No","No","No","No","Yes","SpatiaLite","?","No"
"SQreamDB","?","?","?","?","Yes","?","?","?","?","?","?","No"
"Teradata","No","Yes","Yes","Yes","No","Yes","No","No","?","?","?","No"
"UniVerse","Yes","Yes","Yes","Yes","Yes","No","No","No","?","Yes","?","No"
"","R-/R+tree","Hash","Expression","Partial","Reverse","Bitmap","GiST","GIN","Full-text","Spatial","FOT","Duplicateindexprevention"
