"Model","Launch","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","HardwareT&L","Coreconfig","Fillrate","Memory","APIcompliance(version)","Memory","Memory","Fillrate","Memory","APIcompliance(version)","Notes"
"Model","Launch","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","HardwareT&L","Coreconfig","Pixel(GP/s)","Texture(GT/s)","Size(MB)","Notes","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Direct3D","OpenGL"
"RageLT(RageII)","Nov1996","500","PCI","60","66","No","0:1:1:1","0.06","0.06","4","0.53","EDO,SDR,SGR","64","5","N/A",""
"RageLTPro(RagePro)","Nov1997","350","AGP,PCI","75","100","No","0:1:1:1","0.075","0.075","8","0.80","EDO,SDR,SGR","64","6","1.1","MotionCompensation"
"RageMobilityM/P(RagePro)","Nov1998","250","AGP,PCI","90","Unknown","0.18","No","8","0:1:1:1","0.18","Unknown","SDR,SGR","Unknown","Unknown","64","Mhad4MBofintegratedSDRAM,Phadnone.IDCT,MotionCompensation."
"RageMobilityM1(RagePro)","Feb1999","250","90","AGP,PCI","0.18","0.18","90","0.72","SDR","No","8","0:1:1:1","6","1.2","M1had8MBofintegratedSDRAM,Phadnone.IDCT,MotionCompensation.","64"
"Rage128GL","Aug1998","250","103","AGP,PCI","SDR","6","1.2","103","0:2:2:2","0.206","No","0.206","32","1.65","128",""
"RageMobility128(Rage128Pro)","Oct1999","250","105","0:2:2:2","AGP,PCI","SDR","6","1.2","128","105","0.21","0.21","No","16","2.28","IDCT,MotionCompensation"
"RageMobilityM3(AGP4x)(Rage128Pro)","Oct1999","105","105","0.21","0.21","16","2.28","250","M3had8MBofintegratedSDRAM,IDCT,MotionCompensation.","0:2:2:2","AGP,PCI","SDR","6","1.2","128","No"
"RageMobilityM4(AGP4x)(Rage128Pro)","Oct1999","105","105","0.21","0.21","32","250","2.28","0:2:2:2","AGP,PCI","SDR","6","1.2","128","M4had16MBofintegratedSDRAM,IDCT,MotionCompensation.","No"
