"Model","Launch","ArchitectureFab","Core","Fillrate","Core","Memory","Memory","Memory","Fillrate","Processingpower(GFLOPS)","Memory","TDP(Watts)","Businterface"
"Model","Launch","ArchitectureFab","Config","Clock(MHz)","Processingpower(GFLOPS)","Pixel(GP/s)","TDP(Watts)","Businterface","Texture(GT/s)","Size(MiB)","Bustype&width(bit)","Clock(MHz)","Bandwidth(GB/s)"
"RadeonHD6330M(RobsonLP)","November2010","TeraScale240nm","80:8:4","500","2.0","4.0","80","1024","DDR364-bit","800","12.8","7","PCIe2.1x16"
"RadeonHD6350M(RobsonPro)","November2010","TeraScale240nm","80:8:4","500","2.0","4.0","80","1024","DDR364-bit","800900","12.814.4","7","PCIe2.1x16"
"RadeonHD6370M(RobsonXT)","November2010","TeraScale240nm","80:8:4","750","3.0","6.0","120","1024","DDR364-bit","900","14.4","11","PCIe2.1x16"
"RadeonHD6430M(SeymourLP)","January2011","TeraScale240nm","160:8:4","480","1.92","3.84","153.6","1024","DDR364-bit","800","12.8","Unknown","PCIe2.1x16"
"RadeonHD6450M(SeymourPro)","January2011","TeraScale240nm","160:8:4","600","2.4","4.8","192","1024","DDR364-bit","800","12.8","Unknown","PCIe2.1x16"
"RadeonHD6470M(SeymourXT)","January2011","TeraScale240nm","160:8:4","700750","2.83.0","5.66.0","224240","1024","DDR364-bit","800800","12.8","Unknown","PCIe2.1x16"
"RadeonHD6490M(SeymourXT)","January2011","TeraScale240nm","160:8:4","800","3.2","6.4","256","512","GDDR564-bit","800","25.6","Unknown","PCIe2.1x16"
"RadeonHD6530M(CapilanoPro)","November2010","TeraScale240nm","400:20:8","500","4.0","10.0","400","1024","DDR3128-bit","900","28.8","26","PCIe2.1x16"
"RadeonHD6550M(CapilanoPro)","November2010","TeraScale240nm","400:20:8","600","4.8","12.0","480","1024","DDR3128-bit","900","28.8","26","PCIe2.1x16"
"RadeonHD6570M(CapilanoXT)","November2010","TeraScale240nm","400:20:8","650","5.2","13.0","520","1024","DDR364-bitGDDR5128-bit","900","28.857.6","30","PCIe2.1x16"
"RadeonHD6630M(WhistlerLP)","January2011","TeraScale240nm","480:24:8","485","3.88","11.64","465.6","256(mac)1024","GDDR5128-bit(mac)DDR3","800","51.2(mac)25.6","Unknown","PCIe2.1x16"
"RadeonHD6650M(WhistlerPro)","January2011","TeraScale240nm","480:24:8","600","4.8","14.4","576","1024","DDR3128-bit","900","28.8","Unknown","PCIe2.1x16"
"RadeonHD6730M(WhistlerXT)","January2011","TeraScale240nm","480:24:8","725","5.8","17.4","696","1024","DDR3128-bit","800","25.6","Unknown","PCIe2.1x16"
"RadeonHD6750M(WhistlerPro)","January2011","TeraScale240nm","480:24:8","600","4.8","14.4","576","2565121024","GDDR5128-bit","800900","51.257.6","Unknown","PCIe2.1x16"
"RadeonHD6770M(WhistlerXT)","January2011","TeraScale240nm","480:24:8","725","5.8","17.4","696","1024","GDDR5128-bit","900","57.6","Unknown","PCIe2.1x16"
"RadeonHD6830M(GranvillePro)","January2011","TeraScale240nm","800:40:16","575","9.2","23.0","920","2048","DDR3128-bit","800","25.6","39","PCIe2.1x16"
"RadeonHD6850M(GranvilleXT)","January2011","TeraScale240nm","800:40:16","675","10.8","27.0","1080","2048","DDR3128-bit","800","25.6","50","PCIe2.1x16"
"RadeonHD6850M(GranvillePro)","January2011","TeraScale240nm","800:40:16","575","9.2","23.0","920","1024","GDDR5128-bit","800","57.6","39","PCIe2.1x16"
"RadeonHD6870M(GranvilleXT)","January2011","TeraScale240nm","800:40:16","675","10.8","27","1080","1024","GDDR5128-bit","1000","64","50","PCIe2.1x16"
"RadeonHD6950M(BlackcombPro)","January2011","TeraScale240nm","960:48:32","580","18.56","27.84","1113.6","2048","GDDR5256-bit","900","115.2","50","PCIe2.1x16"
"RadeonHD6970M(BlackcombXT)","January2011","TeraScale240nm","960:48:32","680","21.76","32.64","1305.6","2048","GDDR5256-bit","900","115.2","75","PCIe2.1x16"
"RadeonHD6990M(BlackcombXTX)","July2011","TeraScale240nm","1120:56:32","715","22.88","40.04","1601.6","2048","GDDR5256-bit","900","115.2","75","PCIe2.1x16"
