"Graphics","Launch","Market","Processor","Codename","DeviceID","Clockrate(MHz)","Coreconfig","APIsupport","APIsupport","APIsupport","APIsupport","eDRAM(MB)","Memorybandwidth(GB/s)"
"Graphics","Launch","Market","Processor","Codename","DeviceID","Clockrate(MHz)","Coreconfig","Direct3D","eDRAM(MB)","Memorybandwidth(GB/s)","OpenGL","OpenCL","Vulkan"
"HDGraphics","2015","Ultramobile","Atomx5-Z8300","CherryviewBraswell(Gen8LP)","22B022B122B222B3","200-500","96:12:2","11.2","4.34.6ES3.2","2.01.2","1.1","-","12.8"
"HDGraphics","2015","Ultramobile","Atomx5-Z8500","CherryviewBraswell(Gen8LP)","22B022B122B222B3","200-600","96:12:2","11.2","4.34.6ES3.2","2.01.2","1.1","-","25.6"
"HDGraphics","2015","25.6","Ultramobile","Atomx5-E8000CeleronN3000CeleronN3050","CherryviewBraswell(Gen8LP)","22B022B122B222B3","320-600","96:12:2","11.2","4.34.6ES3.2","2.01.2","1.1","-"
"HDGraphics","2015","25.6","Ultramobile","CeleronN3150","CherryviewBraswell(Gen8LP)","22B022B122B222B3","320-640","96:12:2","11.2","4.34.6ES3.2","2.01.2","1.1","-"
"HDGraphics","2015","25.6","Ultramobile","Atomx7-Z8700","CherryviewBraswell(Gen8LP)","22B022B122B222B3","200-600","128:16:2","11.2","4.34.6ES3.2","2.01.2","1.1","-"
"HDGraphics","2015","128:16:2","25.6","Ultramobile","PentiumN3700","CherryviewBraswell(Gen8LP)","22B022B122B222B3","400-700","11.2","4.34.6ES3.2","2.01.2","1.1","-"
"HDGraphics400","2016","25.6","Ultramobile","Atomx5-Z8350","CherryviewBraswell(Gen8LP)","22B022B122B222B3","200-500","96:12:2","11.2","4.34.6ES3.2","2.01.2","1.1","-"
"HDGraphics400","2016","CeleronN3010CeleronN3060","320-600","96:12:2","25.6","Ultramobile","CherryviewBraswell(Gen8LP)","22B022B122B222B3","11.2","4.34.6ES3.2","2.01.2","1.1","-"
"HDGraphics400","2016","CeleronN3160","320-640","96:12:2","25.6","Ultramobile","CherryviewBraswell(Gen8LP)","22B022B122B222B3","11.2","4.34.6ES3.2","2.01.2","1.1","-"
"HDGraphics400","2016","CeleronJ3060CeleronJ3160","320-700","96:12:2","25.6","Ultramobile","CherryviewBraswell(Gen8LP)","22B022B122B222B3","11.2","4.34.6ES3.2","2.01.2","1.1","-"
"HDGraphics405","2016","PentiumN3710","25.6","Ultramobile","400-700","CherryviewBraswell(Gen8LP)","22B022B122B222B3","128:16:2","11.2","4.34.6ES3.2","2.01.2","1.1","-"
"HDGraphics405","PentiumJ3710","2016","400-740","25.6","Ultramobile","144:18:2","CherryviewBraswell(Gen8LP)","22B022B122B222B3","11.2","4.34.6ES3.2","2.01.2","1.1","-"
"HDGraphics","2015","Mobile","Celeron3205UCeleron3755UPentium3805U","Broadwell(Gen8)","1606","100–800","96:12:2(GT1)","12FL11_1","4.44.14.6ES3.2","2.01.22.1","1.1","-","25.6"
"HDGraphics","2015","Mobile","Celeron3215UCeleron3765UPentium3825U","Broadwell(Gen8)","1606","300–850","96:12:2(GT1)","12FL11_1","4.44.14.6ES3.2","2.01.22.1","1.1","-","25.6"
"HDGraphics5300","2014","Ultramobile","CoreM-5Y10CoreM-5Y10a","Broadwell(Gen8)","161E","100–800","192:24:3(GT2)","12FL11_1","4.44.14.6ES3.2","2.01.22.1","1.1","-","25.6"
"HDGraphics5300","2014","Ultramobile","CoreM-5Y10c","161E","300–800","192:24:3(GT2)","Broadwell(Gen8)","12FL11_1","4.44.14.6ES3.2","2.01.22.1","1.1","-","25.6"
"HDGraphics5300","2014","Ultramobile","CoreM-5Y70","161E","100–850","192:24:3(GT2)","Broadwell(Gen8)","12FL11_1","4.44.14.6ES3.2","2.01.22.1","1.1","-","25.6"
"HDGraphics5300","2014","Ultramobile","CoreM-5Y31","161E","300–850","192:24:3(GT2)","Broadwell(Gen8)","12FL11_1","4.44.14.6ES3.2","2.01.22.1","1.1","-","25.6"
"HDGraphics5300","2014","Ultramobile","CoreM-5Y51CoreM-5Y71","161E","300–900","192:24:3(GT2)","Broadwell(Gen8)","12FL11_1","4.44.14.6ES3.2","2.01.22.1","1.1","-","25.6"
"HDGraphics5500","2015","Mobile","Corei3-5005UCorei3-5015U","Broadwell(Gen8)","1616","300–850","184:23:3(GT2)","12FL11_1","4.44.14.6ES3.2","2.01.22.1","1.1","-","25.6"
"HDGraphics5500","2015","Mobile","Corei3-5010UCorei3-5020U","1616","300–900","184:23:3(GT2)","Broadwell(Gen8)","12FL11_1","4.44.14.6ES3.2","2.01.22.1","1.1","-","25.6"
"HDGraphics5500","300–900","2015","Mobile","Corei5-5200UCorei5-5300U","1616","192:24:3(GT2)","Broadwell(Gen8)","12FL11_1","4.44.14.6ES3.2","2.01.22.1","1.1","-","25.6"
"HDGraphics5500","192:24:3(GT2)","2015","Mobile","Corei7-5500UCorei7-5600U","1616","300–950","Broadwell(Gen8)","12FL11_1","4.44.14.6ES3.2","2.01.22.1","1.1","-","25.6"
"HDGraphics5600","192:24:3(GT2)","2015","Mobile","Corei7-5700EQ","1612","Broadwell(Gen8)","300–1000","12FL11_1","4.44.14.6ES3.2","2.01.22.1","1.1","-","25.6"
"HDGraphics5600","Mobile","Corei7-5700HQ","1612","192:24:3(GT2)","2015","300–1050","Broadwell(Gen8)","12FL11_1","4.44.14.6ES3.2","2.01.22.1","1.1","-","25.6"
"HDGraphicsP5700","192:24:3(GT2)","2015","Mobile","XeonE3-1258Lv4","?","Broadwell(Gen8)","700-1000","12FL11_1","4.44.14.6ES3.2","2.01.22.1","1.1","-","25.6"
"HDGraphics6000","2015","Mobile","Corei5-5250U","1626","Broadwell(Gen8)","300–950","384:48:6(GT3)","12FL11_1","4.44.14.6ES3.2","2.01.22.1","1.1","-","25.6"
"HDGraphics6000","Mobile","Corei5-5350UCorei7-5550UCorei7-5650U","1626","2015","384:48:6(GT3)","300–1000","Broadwell(Gen8)","12FL11_1","4.44.14.6ES3.2","2.01.22.1","1.1","-","25.6"
"IrisGraphics6100","2015","Mobile","Corei3-5157U","162B","384:48:6(GT3)","Broadwell(Gen8)","300–1000","12FL11_1","4.44.14.6ES3.2","2.01.22.1","1.1","-","25.6"
