"","English","Esperanto","Novial"
"Infinitive","(to)love","am-i","ama"
"Simplepresent","love(s)","am-as","ama"
"Future","will(shall)love","am-os","salama"
"Simplepast","loved","am-is","didama(ama-d)"
"Presentperfect","have(has)loved","est-asam-int-a(j)","haama"
"Pluperfect","hadloved","est-isam-int-a(j)","ha-dama"
"Futureperfect","will(shall)haveloved","est-osam-int-a(j)","salhaama"
"Futureinthepast","wasgoingto(would,should)love","est-isam-ont-a(j)","sal-edama"
"Conditional","would(should)love","am-us","vudama"
"Conditionalperfect","would(should)haveloved","est-usam-int-a(j)","vudhaama"
"Firstimperative","letuslove!","niam-u!","letnusama!"
"Secondimperative","love!","am-u!","ama!"
"Thirdimperative","lethimlove!","liam-u!","letloama!"
"Presentcontinuous","is(am,are)loving","est-asam-ant-a(j)","esama-nt"
"Futurecontinuous","shall(will)beloving","est-osam-ant-a(j)","salesama-nt"
"Pastcontinuous","was(were)loving","est-isam-ant-a(j)","dides(es-ed)ama-nt"
