"HanyuPinyin","Bopomofo","Tong-yong","Wade-Giles","MPSII","Yale","EFEO","Lessing-Othmer","GwoyeuRomatzyh","GwoyeuRomatzyh","GwoyeuRomatzyh","GwoyeuRomatzyh","IPA","Note"
"HanyuPinyin","Bopomofo","Tong-yong","Wade-Giles","MPSII","Yale","EFEO","Lessing-Othmer","Tone1","IPA","Note","Tone2","Tone3","Tone4"
"a","?","a","a","a","a","a","a","a","ar","aa","ah","a",""
"ai","?","ai","ai","ai","ai","ngai","ai","ai","air","ae","ay","ai",""
"an","?","an","an","an","an","ngan","an","an","arn","aan","ann","an",""
"ang","?","ang","ang","ang","ang","ngang","ang","ang","arng","aang","anq","a?",""
"ao","?","ao","ao","au","au","ngao","au","au","aur","ao","aw","au",""
"ba","??","ba","pa","ba","ba","pa","ba","ba","bar","baa","bah","pa",""
"bai","??","bai","pai","bai","bai","pai","bai","bai","bair","bae","bay","pai",""
"ban","??","ban","pan","ban","ban","pan","ban","ban","barn","baan","bann","pan",""
"bang","??","bang","pang","bang","bang","pang","bang","bang","barng","baang","banq","pa?",""
"bao","??","bao","pao","bau","bau","pao","bau","bau","baur","bao","baw","pau",""
"bei","??","bei","pei","bei","bei","pei","be","bei","beir","beei","bey","pei",""
"ben","??","ben","pên","ben","ben","pen","bën","ben","bern","been","benn","p?n",""
"beng","??","beng","pêng","beng","beng","peng","bëng","beng","berng","beeng","benq","p??",""
"bi","??","bi","pi","bi","bi","pi","bi","bi","byi","bii","bih","pi",""
"bian","???","bian","pien","bian","byan","pien","biän","bian","byan","bean","biann","pi?n",""
"biao","???","biao","piao","biau","byau","piao","biau","biau","byau","beau","biaw","piau",""
"bie","???","bie","pieh","bie","bye","pie","biä","bie","bye","biee","bieh","pie",""
"bin","???","bin","pin","bin","bin","pin","bin","bin","byn","biin","binn","pin",""
"bing","???","bing","ping","bing","bing","ping","bing","bing","byng","biing","binq","pi?",""
"bo","??","bo","po","bo","bwo","po","bo","bo","bor","boo","boh","puo",""
"bu","??","bu","pu","bu","bu","pou","bu","bu","bwu","buu","buh","pu",""
"ca","??","ca","ts?a","tsa","tsa","ts'a","tsa","tsa","tsar","tsaa","tsah","ts?a",""
"cai","??","cai","ts?ai","tsai","tsai","ts'ai","tsai","tsai","tsair","tsae","tsay","ts?ai",""
"can","??","can","ts?an","tsan","tsan","ts'an","tsan","tsan","tsarn","tsaan","tsann","ts?an",""
"cang","??","cang","ts?ang","tsang","tsang","ts'ang","tsang","tsang","tsarng","tsaang","tsanq","ts?a?",""
"cao","??","cao","ts?ao","tsau","tsau","ts'ao","tsau","tsau","tsaur","tsao","tsaw","ts?au",""
"ce","??","ce","ts?ê","tse","tse","ts'ö","tsö","tse","tser","tsee","tseh","ts??",""
"cen","??","cen","ts?ên","tsen","tsen","ts'en","tsën","tsen","tsern","tseen","tsenn","ts??n",""
"ceng","??","ceng","ts?êng","tseng","tseng","ts'eng","tsëng","tseng","tserng","tseeng","tsenq","ts???",""
"cha","??","cha","ch?a","cha","cha","tch'a","tscha","cha","char","chaa","chah","???a",""
"chai","??","chai","ch?ai","chai","chai","tch'ai","tschai","chai","chair","chae","chay","???ai",""
"chan","??","chan","ch?an","chan","chan","tch'an","tschan","chan","charn","chaan","chann","???an",""
"chang","??","chang","ch?ang","chang","chang","tch'ang","tschang","chang","charng","chaang","chanq","???a?",""
"chao","??","chao","ch?ao","chau","chau","tch'ao","tschau","chau","chaur","chao","chaw","???au",""
"che","??","che","ch?ê","che","che","tch'ö","tschö","che","cher","chee","cheh","????",""
"chen","??","chen","ch?ên","chen","chen","tch'en","tschën","chen","chern","cheen","chenn","????n",""
"cheng","??","cheng","ch?êng","cheng","cheng","tch'eng","tschëng","cheng","cherng","cheeng","chenq","?????",""
"chi","?","chih","ch?ih","chr","chr","tch'e","tschï","chy","chyr","chyy","chyh","????",""
"chong","???","chong","ch?ung","chung","chung","tch'ong","tschung","chong","chorng","choong","chonq","?????",""
"chou","??","chou","ch?ou","chou","chou","tch'eou","tschou","chou","chour","choou","chow","???ou",""
"chu","??","chu","ch?u","chu","chu","tch'ou","tschu","chu","chwu","chuu","chuh","???u",""
"chua","???","chua","ch?ua","chua","chwa","tch'oua","tschua","chua","chuar","chuaa","chuah","???ua",""
"chuai","???","chuai","ch?uai","chuai","chwai","tch'ouai","tschuai","chuai","chwai","choai","chuay","???uai",""
"chuan","???","chuan","ch?uan","chuan","chwan","tch'ouan","tschuan","chuan","chwan","choan","chuann","???uan",""
