"Name","Nearestcity","Skiablearea(acres)","Topelevation(feet)","Baseelevation(feet)","Vertical(feet)","Runs","Lifts","Snowfall(in/year)","DateStatisticsUpdated"
"ArapahoeBasin","Dillon","1,428","13,050","10,520","2,530","147","9","314","March2020"
"AspenHighlands","Aspen","1,040","11,675","8,040","3,635","117","5","300","March2020"
"AspenMountain","Aspen","675","11,212","7,945","3,267","76","8","300","March2020"
"BeaverCreek","BeaverCreek","1,832","11,440","8,100","3,340","150","23","325","March2020"
"Breckenridge","Breckenridge","2,908","12,998","9,600","3,398","187","34","282","March2020"
"Buttermilk","Aspen","470","9,900","7,870","2,030","44","8","200","March2020"
"SkiCooper","Leadville","470","11,700","10,500","1,200","60","5","260","Jan2020"
"CopperMountain","CopperMountain","2,490","12,441","9,712","2,738","140","24","278","March2020"
"CrestedButte","CrestedButte","1,547","12,162","9,375","2,787","121","15","253","March2020"
"EchoMountain","Evergreen","60","10,650","10,050","600","13","3","275",""
"Eldora","Nederland","680","10,600","9,200","1,400","63","10","225","March2020"
"GranbyRanch","Granby","406","9,202","8,202","1,000","35","6","200",""
"Hesperus","Hesperus","60","8,880","8,100","700","13","2","150",""
"Howelsen","SteamboatSprings","50","7,136","6,696","440","17","1","170",""
"Kendall","Silverton","16","9,540","9,300","240","11","1","200",""
"Keystone","Keystone","3,148","12,408","9,280","3,128","128","20","235","March2020"
"Loveland","Dillon","1,800","13,010","10,800","2,210","94","11","422","December2020"
"Monarch","Salida","800","11,960","10,790","1,170","54","5","284",""
"Powderhorn","GrandJunction","1,600","9,850","8,200","1,650","50","4","250","December2020"
"Purgatory","Durango","1,650","10,822","8,793","2,029","105","12","260","December2020"
"SilvertonMountain","Silverton","1,819","13,487","10,400","3,087","69","1","400","December2020"
"Snowmass","SnowmassVillage","3,339","12,510","8,104","4,406","98","21","295","March2020"
"Steamboat","SteamboatSprings","2,965","10,568","6,900","3,668","169","18","368","December2020"
"Sunlight","GlenwoodSprings","680","9,895","7,885","2,010","67","4","252","December2020"
"Telluride","Telluride","2,000","13,150","8,725","3,790","148","17","276","March2020"
"Vail","Vail","5,317","11,570","8,120","3,450","195","31","354","March2020"
"WinterPark","WinterPark","3,081","12,060","9,000","3,060","166","23","347","March2020"
"WolfCreek","PagosaSprings","1,600","11,904","10,300","1,604","133","9","430","February2021"
