"","Austria","Belgium","Czechia","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Latvia","Luxembourg","Moldova","Netherlands","Norway","Poland","Portugal","Romania","Russia","Serbia","Slovakia","Slovenia","Spain","Sweden","Switzerland","Turkey","Ukraine","UnitedKingdom"
"Curve","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seriesofcurves","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Crossroadswithprioritytotheright","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Crossroadswithaminorroad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Roundabout","","","","","","","","","","","","or","","","","","","","","","","","","","","","","","","",""
"Trafficsignals","","","","","","","","","","","","","or","","","","","","","","","","or","","","","","","","",""
"Two-waytraffic","","","","","or","","","","","","","or","","","","","","","","","","","","","","","","","","","or"
"Trafficqueues","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Steepascent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Steepdescent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Austria","Belgium","Czechia","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Latvia","Luxembourg","Moldova","Netherlands","Norway","Poland","Portugal","Romania","Russia","Serbia","Slovakia","Slovenia","Spain","Sweden","Switzerland","Turkey","Ukraine","UnitedKingdom"
"Pedestriancrossingahead","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pedestrians","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Children","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyclists","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Domesticanimals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wildanimals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Roadnarrows","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Unevensurface","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dip","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Austria","Belgium","Czechia","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Latvia","Luxembourg","Moldova","Netherlands","Norway","Poland","Portugal","Romania","Russia","Serbia","Slovakia","Slovenia","Spain","Sweden","Switzerland","Turkey","Ukraine","UnitedKingdom"
"Slipperysurface","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Loosesurfacematerial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Softverges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceorsnow","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fog","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fallingrocks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Crosswinds","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Unprotectedquaysideorriverbank","","","","","","","","","","or","","","","","","","","","","","","","","","","","","","","","or"
"Openingbridge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tunnel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Austria","Belgium","Czechia","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Latvia","Luxembourg","Moldova","Netherlands","Norway","Poland","Portugal","Romania","Russia","Serbia","Slovakia","Slovenia","Spain","Sweden","Switzerland","Turkey","Ukraine","UnitedKingdom"
"Low-flyingaircraft","","","","or","","","","","","","","","","","","","","","","","","","","","","","or","","","","or"
"Trams","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Levelcrossingwithbarriersahead","","","","","","","","","","","","or","","","","","","","","","","","","","","","","","","",""
"Levelcrossingwithoutbarriersahead","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Levelcrossing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Levelcrossing(multipletracks)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Roadworks","","","","","","","","","or","","","","","","","","","","","","","","","","","","","","","",""
"Otherdanger","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Austria","Belgium","Czechia","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Latvia","Luxembourg","Moldova","Netherlands","Norway","Poland","Portugal","Romania","Russia","Serbia","Slovakia","Slovenia","Spain","Sweden","Switzerland","Turkey","Ukraine","UnitedKingdom"
