"English","Malay","Indonesian"
"ugly","hodoh,teruk,buruk","jelek,buruk"
"Ukraine","Ukraine","Ukraina"
"uncle","pakcik","paman,oom,om(derivedfromDutch,pronouncedandsometimesspeltoom)"
"union","kesatuan(inIndonesianmeans""unitary"")","persatuan,uni,serikat"
"UnitedArabEmirates","EmiriahArabBersatu","UniEmiratArab"
"UnitedKingdom","UnitedKingdom","BritaniaRaya"
"UnitedNations","PertubuhanBangsa-BangsaBersatu","PerserikatanBangsa-Bangsa"
"UnitedStatesofAmerica(USA)UnitedStates(US)","AmerikaSyarikat","AmerikaSerikat(AS)"
"university","universiti","universitas"
"until","sehingga(means'thus'inIndonesian),sampai","hingga,sampai"
