"NMDChub","Windows","Linux","MacOSX","Other"
"UFOHub","Yes","No","No","No"
"Eximius","Yes","No","No","No"
"PTDCH","Yes","No","No","No"
"Aquila","Yes","Yes","No","No"
"Dtella","Yes","Yes","Yes","No"
"HeXHub","Yes","No","No","No"
"OpenDirectConnectHub","No","Yes","No","OpenWrt"
"Flexhub","Yes","Yes","No","QnapandSynologyNASDevices"
"openDCd","Yes","Yes","No","No"
"DDCHDevDirectConnectHub","Yes","No","No","No"
"DBHub","No","Yes","No","No"
"PtokaX","Yes","Yes","Yes","FreeBSD,OpenBSD,NetBSD,Solaris,illumos,Haiku"
"py-dchub","Yes","Yes","Yes","AnyPythoncompatibleplatform"
"RusHub","Yes","Yes","Yes","FreeBSD,Solaris"
"VerliHub","No","Yes","No","No"
"Yhub","Yes","No","No","No"
"Ynhub","Yes","No","No","No"
"LamaHub","Yes","Yes","Yes","OS/2,OpenBSD,NetBSD,TrueOS,FreeBSD,ZeX/OS,Android"
"DCSharpHub","Yes","No","No","No"
"NMDChub","Windows","Linux","MacOSX","Other"
