"","Version","Operatingsystems","Officesuite","Developer","License","ISO/IEC26300:2006","Notes"
"AbiWord","2.4.2","Windows,MacOSX,Linux,Unix-basedsystems","","AbiSource","GPL","Yes","OnlysupportsbasicODTdocuments.ComplexonescreatedinOpenOfficearelikelytobebrokeninAbiWord."
"CalligraWords","2.4+","Windows,MacOSX,Linux,Unix-basedsystems","CalligraSuite","KDEProject","GPL/LGPL","Yes",""
"CollaboraOffice","All","Windows,Linux,macOS,Android,iOS,iPadOS,ChromeOS","CollaboraOffice","Collabora","MPL2","Yes","enterprise-readyeditionofLibreOffice"
"CollaboraOnline","All","Any(Web-based)","CollaboraOnline","Collabora","MPL2","Yes","enterprise-readyeditionofLibreOffice"
"GoogleDocs&Spreadsheets","2006","Any(Web-based)","StandaloneorGoogleApps","Google","Proprietary","Yes",""
"IBMLotusSymphony","1.0+","Windows,Linux,MacOSX","IBMLotusSymphony","IBM","Proprietary","Yes","BaseduponOpenOffice.org"
"IBMWorkplaceDocuments","2.5+","Any(Web-based)","IBMWorkplaceCollaborationServices","IBM","Proprietary","Yes","nolongerbeingactivelymarketed"
"KWord","1.4+","Linux,Unix-basedsystems","KOffice","KDEProject","LGPL","Yes",""
"LibreOfficeWriter","4.0.3","Windows,Linux,Unix-basedsystems,MacOSX,Solaris","LibreOffice","LibreOffice","MPL2","Yes","MultipleODFversionssupported(ISO/ODF1.0/1.1/1.2/1.3/1.3Extended)"
"MicrosoftOfficeWord","2007SP2","Windows","MicrosoftOffice","Microsoft","Proprietary","Yes","somelimitations"
"NeoOfficeWriter","2.1","MacOSX","NeoOffice","PatrickLubyandEdwardPeterlin","GPL","no(notvalid)",""
"OpenOffice.orgWriter","3.0.0","Windows,Linux,Unix-basedsystems,MacOSX,Solaris","OpenOffice.org","OpenOffice.org","LGPL","Yes","adjustableODFversion(ISO/ODF1.2)"
"OpenOffice.orgWriter","2.4.1","Windows,Linux,Unix-basedsystems,MacOSX,Solaris","OpenOffice.org","OpenOffice.org","LGPL","Yes",""
"OpenOffice.orgWriter","1.1.5","Windows,Linux,Unix-basedsystems,MacOSX","OpenOffice.org","OpenOffice.org","LGPL/SISSL","","Importonly"
"StarOfficeWriter","8","Windows,Linux,Solaris","StarOffice","SunMicrosystems","Proprietary","Yes",""
"TextMaker","2006andhigher","Windows,Linux,FreeBSD,PocketPC,WindowsCE","SoftMakerOffice","SoftMaker","Proprietary","Yes","TextMaker2006-notvalidfiles;TextMaker2010-valid"
"TextEdit","1.5andhigher","MacOSX","Standalone","AppleInc.","BundledwithMacOSX/Sourcecodeavailable","Yes",""
"WordPerfect","X4(2008)","Windows","CorelWordPerfectOfficeX4","Corel","Proprietary","","Importonly"
"ZohoWriter","2006","Any(Web-based)","Standalone","AdventNet","Proprietary","Yes",""
"","Version","Operatingsystems","Officesuite","Developer","License","ISO/IEC26300:2006","Notes"
