"Name","Collapsiblesections","FindandreplaceusingRegEx","Intelligenterrorhandling","AutocompletionofLaTeXcommands","Parenthesismatching","Startsuptopreviousstate","Unicodesupport","RTLSupport"
"AUCTeX","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Authorea","No","Yes","No","No","Yes","Yes","Yes","?"
"Auto-LatexEquationsforGoogleDocs","No","Yes","No","No","No","Yes","Yes","?"
"CoCalc","Yes","Yes","No","Yes","Yes","Yes","Yes","?"
"GNOMELaTeX","Planned","Yes","Yes","Yes","Yes","(justsamefiles)","Yes","Yes"
"Gummi","No","No","No","No","Yes","No","Yes","?"
"Kile","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"LEd","Yes","Yes","?","Yes","Yes","No(justsamefiles)","No","?"
"LyX","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"MeWa","No","Yes","No","No","No","No","Yes","?"
"Notepad++","Yes","Yes","No","Partial","Yes","Yes","Yes","Yes"
"Overleaf","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"ScientificWorkPlace","No","?","?","N/A","Yes","No","Yes","?"
"TexLab","No","No","Yes","Yes","Yes","Yes","Yes","No"
"TeXmacs","No","Yes","N/A","N/A","N/A","N/A","Yes","?"
"Texmaker","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"TeXnicCenter","sincev2.0","sincev2.0","Yes","Yes","Yes","Yes","sincev2.0","?"
"TeXShop","No","Yes","Yes","Yes","Yes","Yes","Yes","?"
"TeXstudio","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"TeXworks","No","Yes","No","Yes","Yes","No","Yes","Yes"
"Verbosus","No","No","Yes","Yes","Yes","No","Yes","?"
"VisualStudioCode","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"WinEdt","Yes","Yes(modified)","Yes","Yes","Yes","Yes","Yes","Yes"
"WinShell","Yes","Yes","Yes","Yes","Yes","No(justsamefiles)","Yes","?"
"Name","Collapsiblesections","FindandreplaceusingRegEx","Intelligenterrorhandling","AutocompletionofLaTeXcommands","Parenthesismatching","Startsuptopreviousstate","Unicodesupport","RTLSupport"
