"","usermanager","Plugin","Compare","Import","Export","Debugger","Sourcecontrol","SpatialVisualization"
"Adminer","Yes","Yes","Yes","SQLscript,CSV,TSVortheaboveinzip(asaplugin);importsofserver-sitefileinSQLorSQLinzip,gziporbzip2","SQLscript,CSV,TSVortheaboveinzip,gzip,bzip2;XML(asaplugin)","No","Git"
"AltovaDatabaseSpy","No","No","Yes","CSV,XML","XML,XMLStructure,CSV,HTML,MSExcel","No","?"
"DaDaBIK","Some","No","No","No","CSV","Yes","No"
"DatabaseWorkbench","Yes","No","Yes","Yes","Yes","Yes","Yes"
"DataGrip","No","Yes","Yes","Yes","TXT,CSV,HTML,XML,DBF,SQLscript,RTF,MSWord,MSExcel,MSAccess,MSWindowsClipboard,Paradoxfile,WK1,WQ1,SLK,DIF,LDIF","No","Yes"
"DBeaver","Yes","Yes","Yes","Yes","Yes","No","WithEclipseplugins"
"DBEdit","No","No","No","No","MSExcel,PDF,Text,SQLscript","No","?"
"DbVisualizer","Yes","Yes","Yes","Yes","Excel(*.xsl;*.xslx),CSV","Yes","?",""
"Epictetus","No","Yes","No","No","Excel","No","?"
"ModelRight","Some","Yes","Yes","Yes-fromsupporteddatabasesusingnativeinterfaces,orfromanyODBCsource","SQL;XML;DTD;DiagramasBMP,JPEG","No","?"
"Navicat","Yes","No","Yes","Yes-TXT,CSV,DBF,HTML,MSExcel,MSAccess,Paradoxfile,WK1,WQ1,XML,orfromanyODBCsource(Seelinkforlimitations)","Yes-TXT,CSV,HTML,XML,DBF,SQLscript,RTF,MSWord,MSExcel,MSAccess,MSWindowsClipboard,Paradoxfile,WK1,WQ1,SLK,DIF,LDIF(Seelinkforlimitations)","Yes","No"
"NavicatDataModeler","No","No","Yes","Yes-ImportDatabasefromserver/ODBC","Yes-ExportSQL","No","No"
"MySQLWorkbench","Yes","Yes","Yes","Yes-CSV,HTML,JSON,MSExcel,SQLINSERTS,Tab-separated,XML","Yes-CSV,HTML,JSON,MSExcel,SQLINSERTS,Tab-separated,XML","Yes","No"
"OracleSQLDeveloper","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Orbada","No","Yes","Yes","SQLscript","SQLscript,CSV,XML,HTML,PDF,Excel,DBF,DataText","No","No",""
"pgAdmin","Yes","Yes","No","CSV,Text,orbinary","CSV,text,HTML,XML","Yes","No"
"phpMyAdmin","Yes","Some","Yes","Yes-CSV,SQL,XML,Excel,ODS","Yes-CSV,LaTeX,Excel,Word,ODS,ODT,XML,SQL,YAML,Texy!,JSON,NHibernate,PHP,PDF,MediaWiki","Yes","Git"
"SQLDatabaseStudio","Yes","Yes","No","CSV,XML,MSExcel","CSV,HTML,MSExcel,SQLINSERTS,Tab-separated,XML","No","No"
"SQLyog","Yes","?","Yes","Yes","Yes","?","?"
"SQLServerManagementStudio","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes"
"SQuirreLSQL","?","Yes","Yes","Yes","?","No","?"
"Toad","Some","No","Yes","Yes","Yes","Yes","SVN,CVS,TFS,VSS"
"ToadDataModeler","No","?","Yes","ToadforOracleERD,ERWin7.1(XML)viaplugin","SQL;metadatainXML;reportinHTML/RTF/CSV;diagramasBMP,JPEG,PNG","No","?"
"TOra","Some","No","Yes","Yes","Yes","Yes","No"
