"Name","Developer","Firstreleased","Licensing","Maintained?"
"AloahaCryptDisk","Aloaha","2008","SourceAuditableforCommercialCustomers","Yes"
"ArchiCryptLive","SoftwaredevelopmentRemusArchiCrypt","1998","Proprietary","Yes"
"BestCrypt","Jetico","1993","Proprietary","Yes"
"BitArmorDataControl","BitArmorSystemsInc.","2008-05","Proprietary","Yes"
"BitLocker","Microsoft","2006","Proprietary","Yes"
"BloombaseStoreSafe","Bloombase","2012","Proprietary","No"
"Boxcryptor","SecombaGmbH","2011","Proprietary","Yes"
"CGD","RolandC.Dowdeswell","2002-10-04","BSD","Yes"
"CenterToolsDriveLock","CenterTools","2008","Proprietary","Yes"
"CheckPointFullDiskEncryption","CheckPointSoftwareTechnologiesLtd","1999","Proprietary","Yes"
"CipherShed","CipherShedProject","2014","TrueCryptLicenseVersion3.0","No"
"CrossCrypt","StevenScherrer","2004-02-10","GPL","No"
"CryFS","SebastianMessmer","2015","LGPLv3","Yes"
"Cryhod","Prim'XTechnologies","2010","Proprietary","Yes"
"Cryptainer","CypherixSoftware","1999","Proprietary","Yes"
"CrypticDisk","Exlade","2003","Proprietary","Yes"
"CryptArchiver","WinEncrypt","?","Proprietary","Yes"
"Cryptoloop","?","2003-07-02","GPL","No"
"Cryptomator","SkymaticUG(haftungsbeschränkt)","2016-03-09","GPLv3","Yes"
"CryptoProSecureDiskEnterprise","cpsdit-servicesGmbH","2010","Proprietary","Yes"
"CryptoProSecureDiskforBitLocker","cpsdit-servicesGmbH","2012","Proprietary","Yes"
"CryptSync","StefanKüng","2012","Gplv2","Yes"
"Discryptor","CosectLtd.","2008","Proprietary","No"
"DiskCryptor","ntldr,DavidXanatos","2007","GPL","Yes"
"DISKProtect","BecryptLtd","2001","Proprietary","Yes"
"Cryptsetup/Dmsetup","ChristopheSaout","2004-03-11","GPL","Yes"
"Dm-crypt/LUKS","ClemensFruhwirth(LUKS)","2005-02-05","GPL","Yes"
"DriveCrypt","SecurStarGmbH","2001","Proprietary","Yes"
"DriveSentryGoAnywhere2","DriveSentry","2008","Proprietary","No"
"E4M","PaulLeRoux","1998-12-18","Opensource","No"
"e-CapsulePrivateSafe","EISSTLtd.","2005","Proprietary","Yes"
"eCryptfs","DustinKirkland,TylerHicks,(formerlyMikeHalcrow)","2005","GPL","Yes"
"EgoSecureHDDEncryption","EgoSecureGmbH","2006","Proprietary","Yes"
"EncFS","ValientGough","2003","LGPLv3","Yes"
"EncryptStick","ENCSecuritySystems","2009","Proprietary","Yes"
"EncryptUSB","ClevX","2016","Proprietary","Yes"
"FileVault","AppleInc.","2003-10-24","Proprietary","Yes"
"FileVault2","AppleInc.","2011-07-20","Proprietary","Yes"
"FREECompuSec","CE-Infosys","2002","Proprietary","Yes"
"FreeOTFE","SarahDean","2004-10-10","Opensource","No"
"GBDE","Poul-HenningKamp","2002-10-19","BSD","No"
"GELI","PawelJakubDawidek","2005-04-11","BSD","Yes"
"GnuPG","WernerKoch","1999-09-07","GPL","Yes"
"gocryptfs","JakobUnterwurzacher","2015-10-07","MIT/XConsortiumLicense","Yes"
"Knox","AgileBits","2010","Proprietary","Yes"
"KryptOS","TheMorphOSDevelopmentTeam","2010","Proprietary","Yes"
"LibreCrypt","tdk","2014-06-19","Opensource","No"
"Loop-AES","JariRuusu","2001-04-11","GPL","Yes"
"McAfeeDriveEncryption(SafeBoot)","McAfee,LLC","2007","Proprietary","Yes"
"n-CryptPro","n-TranceSecurityLtd","2005","Proprietary","Yes"
"NetLibEncryptionizer(directoryencryption)","NetLibSecurity","1987","Proprietary","Yes"
"Nodrive(VirtualEncryptedDisk)","HiddenSolutions","2018","Proprietary","Yes"
"PGPDisk","PGPCorporation(acquiredbySymantecin2010)","1998-09-01","Proprietary","Yes"
"PrivateDisk","Dekart","1993","Proprietary","Yes"
"ProxyCrypt","v77","2013","Opensource","Yes"
"R-Crypto","R-ToolsTechnologyInc","2008","Proprietary","Yes"
"SafeGuardEasy","Sophos(Utimaco)","1993","Proprietary","Yes"
"SafeGuardEnterprise","Sophos(Utimaco)","2007","Proprietary","Yes"
"SafeGuardPrivateDisk","Sophos(Utimaco)","2000","Proprietary","Yes"
"SafeHouseProfessional","PCDynamics,Inc.","1992","Proprietary","Yes"
"Scramdisk","ShaunHollingworth","1997-07-01","Opensource","No"
"Scramdisk4Linux","Hans-UlrichJuettner","2005-08-06","GPL","No"
"SecuBox","AikoSolutions","2007-02-19","Proprietary","Yes"
"SECUDESecureNotebook","SECUDE","2003","Proprietary","Yes"
"SecureDoc","WinMagicInc.","1997","Proprietary","Yes"
"SeqriteEncryptionManager","QuickHealTechnologiesLtd.","2017","Proprietary","Yes"
"Sentry2020","SoftWinter","1998","Proprietary","No"
"Softraid/RAIDC","OpenBSD","2007-11-01","BSD","Yes"
"SpyProof!","InformationSecurityCorp.","2002","Proprietary","Yes"
"Svnd/Vnconfig","OpenBSD","2000-12-01","BSD","Yes"
"SymantecEndpointEncryption","SymantecCorporation","2008","Proprietary","Yes"
"Tcplay","AlexHornung","2012-01-28","BSD","Yes"
"TrendMicroEndpointEncryption(MobileArmor)","TrendMicro","2004orearlier","Proprietary","Yes"
"TrueCrypt","TrueCryptFoundation","2004-02-02","TrueCryptLicense3.1","No"
"USBCrypt","WinAbilitySoftwareCorp.","2010","Proprietary","Yes"
"VeraCrypt","IDRIX","2013-06-22","ApacheLicense2.0TrueCryptLicenseVersion3.0(legacycodeonly)","Yes"
"CyberSafeTopSecret","CyberSoft","2013","Proprietary","Yes"
"Name","Developer","Firstreleased","Licensing","Maintained?"
