"","possibilityofextendedcustomization","generateddiagrams","highlightingandlinkingofgenerateddoc","parametertypesextracted"
"COBOLDoc","","","","Yes"
"Ddoc","withmacros","","",""
"Document!X","customizableHTMLbasedtemplates,customcommenttags","linkedgraphicalobjectrelationshipdiagrams","internallinksandlinksto.NETframeworkdocumentation","typesextractedandlinked"
"Doxygen","withXSLT","callerandcalleegraphs,dependencygraphs,inheritancediagrams,collaborationdiagrams","",""
"Epydoc","","","",""
"Haddock","","","Yes","Yes"
"HeaderDoc","Customheaders,footers,codecoloring,andotherCSSstylesinindividualpages.Project-wideTOCisgeneratedfromauser-definedtemplate.","","Configurablesyntaxhighlighting/coloringwithautomaticlinkingtosymbolsindeclaration,abilitytomanuallylinktosymbolsindiscussion,etc.","Provideswarningsiftaggedparametersdonotmatchcode,parsedparametersincludedinXMLoutputandDoxygen-styletagfile(-Dflagin8.7).PartialCpreprocessorsupportwith-pflag.Supportfor#if/#ifdefcontroloverdocumentationinclusionusingthe-Dand-Ucommand-lineflags."
"Imagix4D","customizablethroughstylesheetsandCSS","linkedhierarchyanddependencygraphsforfunctioncalls,variablesetsandreads,classinheritanceandinterface,andfileincludesandinterface,intra-functionflowcharts","fullycross-linkedproject-wide,includingallhierarchyanddependencygraphs,metricstables,sourcecodesnippets,andsourcefiles","fullsemanticanalysisofsourcecode,includingparametertypes,conditionalcompilationdirectives,macroexpansions"
"Javadoc","","","",""
"JSDoc","","","","Yes"
"JsDocToolkit","","","","Yes"
"mkd","Customisableforalltypeofcomments","'as-is'incomments","allgeneraldocumentation;references,manual,organigrams,...Includingthebinarycodesincludedinthecomments.","allcodedcomments"
"NaturalDocs","","","",""
"NDoc","","","",""
"perldoc","ExtendthegeneratorclassesthroughPerlprogramming.","","Onlylinking",""
"pdoc","overridableJinja2templates","","sourcecodesyntaxhighlighting,automaticcross-linkingtosymboldeclarations","Yes"
"pdoc3","overridablemakotemplates","","sourcecodesyntaxhighlighting,automaticcross-linkingtosymboldeclarations","Yes"
"phpDocumentor","Smarty-basedtemplates(1.x),Twig-basedtemplates(2+)","classinheritancediagrams","crossreferencetogenerateddocumentation,andtophp.netfunctionreference","Yes"
"pydoc","","","",""
"RDoc","","","",""
"ROBODoc","","","",""
"Sphinx","10themes;Jinja2templating;Pythonplugins","severalinsphinx-contrib,e.g.usingaafigure,actdiag,GoogleChart,orgnuplot","TableofContents,Index;crossreferencing;syntaxhighlightingwithPygments","customobjects(suchasfunctionsandclasses)"
"VisualExpert","documentationcontentandstylescustomizable","Classinheritance,calltrees,dependencies(impactanalysis)","internallinksbetweenclasses,methods,variables,tables,columns...","alltypesextracted"
"VSdocman","fullcustomizationforalloutputformats,templatesforMSDN-likeoutput,customXMLcommenttags","linkedgraphicalclassdiagrams,classinheritancetree","internallinksandlinksto.NETframeworkdocumentation","typesextractedandlinked"
"YARD","customizableRubytemplates","classdiagramswithextratool","internalclasses/modulescross-referencedandRubysourcehighlighted",""
