"Client","Author/Developer","Operatingsystem","Softwarelicense","UserInterface"
"Alpine","UniversityofWashington","Cross-platform","Apache-2.0","TUI"
"AppleMail","Apple","macOS,iOS,watchOS","Proprietary","GUI(Cocoa)"
"Balsa","StuartParmenter","Linux","GPL-2.0-or-later","GUI(GTK3)"
"Becky!InternetMail","Rimarts","Windows","Proprietary","GUI"
"BlitzMail","DartmouthCollege","","BSDlicenses","GUI"
"Citadel","citadel.org","Unix-like","GPL-3.0-only","Webmail"
"ClawsMail","theClawsMailteam","Cross-platform","GPL-3.0-or-later","GUI(GTK2)"
"Courier(formerlyCalypso)","MicroComputerSystems,Inc.,continuedbyRoseCitySoftware","Windows","Proprietary","GUI"
"Elm","DaveTaylor,SydneyWeinstein,BillPemberton,MichaelElkins,KariHurtta","Unix-like","BSD-like","TUI"
"eMClient","eMClientInc.","Windows,macOS","Proprietary","GUI"
"EmailTray","InternetPromotionAgencyS.A.","Windows,Android","Proprietary","GUI"
"EudoraOSE","Qualcomm","Windows,macOS","Opensource","GUI"
"Evolution","TheGNOMEProject","Unix-like","LGPL-2.1-onlyorLGPL-3.0-only","GUI(GTK)"
"FirstClass","OpenText","","Proprietary","GUI"
"FortéAgent","MarkSidell","Windows","Proprietary","GUI"
"Geary","YorbaFoundation","Unix-like","LGPL-2.1-or-later","GUI(GTK)"
"GNUMail","LudovicMarcotteandothers","Unix-like,macOS","GPL-2.0-or-later","GUI"
"Gnus","Gnusteam","Cross-platform","GPL-3.0-or-later","TUIandGUI"
"GroupWise","MicroFocus(formerlyNovell)","Cross-platform","Proprietary","GUI"
"Hiri","Hiri","Cross-platform","Proprietary","GUI"
"i.Scribe,InScribe","Memecode","Windows,macOS,Linux","Proprietary","GUI"
"HCLNotes(formerlyIBMNotesandIBMLotusNotes)","HCLTechnologies(formerlyIBMandLotusSoftware),HCLTechnologies","Windows,macOS,Linux","Proprietary","GUI(Notes),Web(Verse,iNotes)andMobile(Traveler)"
"IMP","HordeLLC","Cross-platform","GPL-2.0-only","Webmail"
"K-9Mail","K-9DogWalkers:cketti,etal.","Android","Apache-2.0","GUI"
"KMail","KDE","Cross-platform","GNUGeneralPublicLicense","GUI(Qt)"
"Mail(Windows)","Microsoft","Windows","Proprietary","GUI"
"Mailbird","Mailbird","Windows","Proprietary","GUI"
"Mailpile","Mailpile","Windows,macOS,Linux","AGPL-3.0-or-later","Webmail"
"mailx","?","Unix-like","BSDLicenses","TUI"
"MicrosoftEntourage","Microsoft","macOS","Proprietary","GUI"
"MicrosoftOutlook","Microsoft","Windows,macOS","Proprietary","GUI"
"MozillaMail&Newsgroups","MozillaFoundation","","MozillaPublicLicense","GUI(XUL)"
"MozillaThunderbird","MozillaFoundation","Cross-platform","MPL-2.0","GUI(XUL)"
"Mulberry","CyrusDaboo(formerlyCyrusoftInternational,Inc./ISAMET)","Cross-platform","Apache-2.0","GUI"
"Mutt","MichaelElkins","Cross-platform","GPL-2.0-or-later","TUI(ncurses)"
"NetscapeMessenger","NetscapeCommunications","","?","GUI"
"NetscapeMessenger9","NetscapeCommunications","","MozillaPublicLicense","GUI"
"NylasMail","Nylas","Windows,macOS,Linux","MIT","GUI"
"nmh/MH","RANDCorporation","Unix-like","BSDLicenses","CLI"
"OperaMail","OperaSoftware","Cross-platform","Proprietary","GUI"
"OutlookExpress","Microsoft","Windows","Proprietary","GUI"
"PegasusMail","DavidHarris","Windows","Proprietary","GUI"
"Pine","UniversityofWashington","Cross-platform","Freeware","TUI"
"Pocomail","PocoSystems","Windows","Proprietary","GUI"
"RoundCube","TheRoundCubeTeam","Cross-platform","GPL-3.0-or-later","Webmail"
"SeaMonkeyMail&Newsgroups","SeaMonkeyCouncil","Cross-platform","MPL-2.0","GUI(XUL)"
"Spark","Readdle","macOS","Proprietary","GUI"
"SquirrelMail","TheSquirrelMailProjectTeam","Cross-platform","GPL-2.0-or-later","Webmail"
"Sylpheed","HiroyukiYamamoto","Cross-platform","Sylpheed:GPL-2.0-or-laterLibSylph:LGPL-2.1-or-later","GUI(GTK2)"
"TheBat!","RitLabs","Windows","Proprietary","GUI"
"Trojitá","KDE","Cross-platform","GPL-2.0-onlyorGPL-3.0-only","GUI(Qt)"
"Turnpike","ThusPLC(DemonInternet)","Windows","Proprietary","GUI"
"WindowsLiveMail","Microsoft","Windows","Proprietary","GUI"
"WindowsMail(Vista)","Microsoft","Windows","Proprietary","GUI"
"YAM","YAMOpenSourceTeamandcontributingauthors","AmigaOS","GPL-2.0-or-later","GUI"
"ZimbraDesktop","Zimbra","Cross-platform","MozillaPublicLicenseforserverandZPLforclient","GUI"
"Client","Author/Developer","Operatingsystem","Softwarelicense","Userinterface"
