"Filemanager","DOS","OS/2&eCS","Windows","MacOSX","Linux","BSD","Unix","AmigaOS","OpenVMS"
"DirectoryOpus","No","No","Yes","No","No","No","No","Yes","No"
"Dired","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Dolphin","No","No","NeedsKDE","Yes","Yes","Yes","Yes","No","No"
"DoubleCommander","No","No","Yes","Yes","Yes","Yes","Yes","No","No"
"DOSNavigator","Yes","Yes","Yes","No","No","No","No","No","No"
"emelFM2","No","No","No","No","Yes","Yes","Yes","No","No"
"FileCommander","No","Yes","Yes","No","Yes","Yes","Yes","No","No"
"fman","No","No","Yes","Yes","Yes","No","No","No","No"
"GNOMECommander","No","No","No","Yes","Yes","Yes","Yes","No","No"
"Konqueror","No","No","NeedsKDE","Yes","Yes","Yes","Yes","No","No"
"Krusader","No","No","No","NeedsX","Yes","Yes","Yes","No","No"
"MidnightCommander","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No"
"muCommander","No","No","Yes","Yes","Yes","Yes","Yes","?","Yes"
"nnn","No","No","No","Yes","Yes","Yes","Yes","No","No"
"GNOMEFiles(Nautilus)","No","No","No","No","Yes","Yes","Yes","No","No"
"Nemo","No","No","No","No","Yes","Yes","Yes","No","No"
"PathMinder","Yes","No","Yes","No","No","No","No","No","No"
"PCManFM","No","NeedsPOSIX-compliantplatform","NeedsPOSIX-compliantplatform","NeedsPOSIX-compliantplatform","Yes","Yes","Yes","No","Yes"
"Ranger","No","No","No","Yes","Yes","Yes","Yes","No","No"
"ROX-Filer","No","No","","","Yes","Yes","Yes","No","No"
"Thunar","No","No","No","No","Yes","Yes","Yes","No","No"
"TotalCommander","No","No","Yes","No","No","No","No","No","No"
"VolkovCommander","Yes","Yes","Yes","No","No","No","No","No","No"
"XandrosFileManager","No","No","No","No","Yes","?","?","No","No"
"Xfe","No","NeedsX","NeedsX","NeedsX","Yes","Yes","Yes","NeedsX","Yes"
"Xfm","No","NeedsX","NeedsX","NeedsX","Yes","Yes","Yes","No","Yes"
"ZTreeWin","No","Yes","Yes","No","No","No","No","No","No"
"Filemanager","DOS","OS/2&eCS","Windows","MacOSX","Linux","BSD","Unix","AmigaOS","OpenVMS"
