"FileManager","Undo/redofileoperation","Filecompression","Fileencryption","Renamebusyfiles","Filepreview","Filecoloringfilter","Fileselectionfilter","Pasteclipboardasfile","Fileandfolderreports","ACL(Accesscontrollist)","Massrename","Runexecutablefiles"
"AltapSalamander","?","Yes","Yes","?","Yes","Yes","Yes,multiple","?","Yes","Yes","Yes","Yes"
"CommanderOne","?","Yes","Yes","Yes","Yes","Yes","Yes","?","No","?","?","?"
"DirectoryOpus","Yes","Yes","Partial","Partial","Yes","Yes","Yes","Yes","Yes","?","Yes","?"
"Dired","?","Yes","Yes","Yes","No","Yes","Yes","No","?","No","Yes","Yes"
"Dolphin","Yes","Yes","Yes","Yes","Yes","?","?","Yes","?","Yes","Yes","Yes"
"DoubleCommander","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","?"
"emelFM2","?","Yes","Yes","Yes","No","?","Yes","No","?","Yes","?","?"
"FARManager","?","Yes","Yes","Yes","Yes","Yes","Yes","Partial","Yes","Plugin","Plugin","?"
"FileCommander","?","Yes","No","No","Yes","Yes","Yes","No","No","No","Yes","?"
"FileManager","?","Yes","?","?","No","Yes","Yes","No","?","Yes","Yes","Yes"
"Files(Apple)","","Yes","","","Yes","","","","","","",""
"FilesbyGoogle","","","","","","","","","","","",""
"Finder","Yes","Yes","Yes","Yes","Yes","Yes","?","No","?","Yes","Yes","Yes"
"ForkLift","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Yes","Yes","?"
"GNOMECommander","?","Yes","?","?","Yes","Yes","?","?","?","No","Yes","?"
"Konqueror","Partial","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Krusader","?","Yes","Yes","Yes","Yes","No","Yes","Yes","?","Yes","Yes","Yes"
"MidnightCommander","?","Yes","?","?","?","Yes","Yes","Partial","?","?","Yes","Yes"
"GNOMEFiles(Nautilus)","Yes","Yes","No","Yes","Yes","No","No","Partial","No","Yes","No","No"
"Nemo","Yes","Yes","Yes","?","Yes","Yes","?","Yes","?","?","No","Yes"
"Nomad.NET","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partial","?"
"PathFinder","?","Yes","No","No","Yes","No","Yes","No","Yes","No","No","?"
"PCManFM","No","Yes","?","Yes","No","?","?","?","?","?","?","Yes"
"ROX-Filer","?","Withhelperapplications","Withhelperapplications","Yes","Yes","No","Yes","No","No","No","Yes","?"
"STDUExplorer","?","No","No","No","Yes","No","No","No","No","No","No","?"
"Thunar","No","No","No","?","Yes","No","Yes","?","?","?","Yes","Yes"
"TotalCommander","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Logfile","Yes","Yes"
"WindowsExplorer","Yes","Yes","Partial","No","Yes","No","No","Partial","No","Yes","Partial","Yes"
"XandrosFileManager","?","?","?","?","?","?","?","?","?","?","?","?"
"Xfe","Yes","Yes","No","Yes","No","?","Yes","No","?","Yes","No","?"
"Xfm","?","?","?","?","?","?","?","?","?","?","?","?"
"xplorer²","No","Yes","Partial","Partial","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"XYplorer","Yes","Yes","Partial","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"ZTreeWin","?","Yes","Partial","Yes","Yes","Yes","Yes","No","Yes","No","Yes","?"
"FileManager","Undo/redofileoperation","Filecompression","Fileencryption","Renamebusyfiles","Filepreview","Filecoloringfilter","Fileselectionfilter","Pasteclipboardasfile","Fileandfolderreports","ACL(Accesscontrollist)","Massrename","Runexecutablefiles"
