"Name","Operatingsystem","Vendor","Onlinestorage","Remotedesktop","Priorfileversions,revisioncontrol","Comments","Portable","Detectrename","Detectmove","Scheduling","Fullduplextransfer"
"MicrosoftActiveSync","Windows","Microsoft","No","No","?","Syncsmobiledevices","","","","",""
"ResilioSync(formerlyBitTorrentSync)","Windows,OSX,Linux,FreeBSD,Android,iOS","Resilio,Inc.","No","No","Yes(previousversionsmovedtoarchivefolder)","Distributedpeer-to-peersync,workingalsoofflineinaLAN","No","Yes","Yes","Proonly","Yes"
"Briefcase(partofWindows)(removedinWindows10build14942)","Windows","Microsoft","No","No","?","","","","","",""
"CobianBackup","Windows","CobianSoft","No","No","Yes,trashfolder","Backupsoftwarewithfoldersynchronizationfeature;remotemanagement;ShadowCopy","No","No","No","Yes",""
"WindowsMobileDeviceCenter","Windows","Microsoft","No","No","?","Syncsmobiledevices;successortoMicrosoftActiveSync","","","","",""
"MicrosoftSyncFramework","Windows","Microsoft","?","No","?","Syncsfiles,data,services;aframework,notatool","","Yes","Yes","-",""
"MicrosoftSyncToy(discontinuedJanuary2021)","Windows","Microsoft","No","No","No,recyclebinonly","Synclocalfolders","No","Yes","Yes","viaOS","No"
"WindowsLiveMesh(discontinued13February2013)","Windows(Vistaandgreater),WindowsMobile,OSX","Microsoft","Yes","Yes","No,recyclebinonly","Syncfolders,onlinestorage","No","Yes","?","No,syncswheneveritisonline","Yes"
"OmniGroupOmniPresence","OSX,OmniGroupsoftwareforiOS,opensourceframeworkavailable","OmniGroup","No","No","No,vialocalTimeMachinebackuponly","SynclocalfoldersviaOmniSyncorWebDAVserverbutnottotheserveritself","No","?","?","No,syncswheneverit'sonlineandnotpaused","Yes"
"WindowsLiveSync(discontinued31March2011)","Windows,OSX","Microsoft","No,browsingonly","No","No,recyclebinonly","Syncfolders,browsedevicesfromwebsite,remoteaccess;wasMicrosoftFolderShare,20,000filelimit","No","Yes","Yes","No,syncswheneverit'sonline","?"
