"Licence","Author","Latestversion","Publicationdate","Linking","Distribution","Modification","Patentgrant","Privateuse","Sublicensing","TMgrant"
"AcademicFreeLicense","LawrenceE.Rosen","3.0","2002","Permissive","Permissive","Permissive","Yes","Yes","Permissive","No"
"AfferoGeneralPublicLicense","AfferoInc","2.0","2007","Copylefted","CopyleftexceptfortheGNUAGPL","Copyleft","?","Yes","?","?"
"ApacheLicense","ApacheSoftwareFoundation","2.0","2004","Permissive","Permissive","Permissive","Yes","Yes","Permissive","No"
"ApplePublicSourceLicense","AppleComputer","2.0","2003August6,2003","Permissive","?","Limited","?","?","?","?"
"ArtisticLicense","LarryWall","2.0","2000","Withrestrictions","Withrestrictions","Withrestrictions","No","Permissive","Withrestrictions","No"
"Beerware","Poul-HenningKamp","42","1987","Permissive","Permissive","Permissive","No","Permissive","Permissive","No"
"BSDLicense","RegentsoftheUniversityofCalifornia","3.0","?","Permissive","Permissive","Permissive","Manually","Yes","Permissive","Manually"
"BoostSoftwareLicense","?","1.0","2003August17,2003","Permissive","?","Permissive","?","?","?","?"
"CreativeCommonsZero","CreativeCommons","1.0","2009","PublicDomain","PublicDomain","PublicDomain","No","PublicDomain","PublicDomain","No"
"CCBY","CreativeCommons","4.0","2002","Permissive","Permissive","Permissive","No","Yes","Permissive","No"
"CCBY-SA","CreativeCommons","4.0","2002","Copylefted","Copylefted","Copylefted","No","Yes","Copylefted","No"
"CeCILL","CEA/CNRS/INRIA","2.1","2005June21,2013","Permissive","Permissive","Permissive","No","Permissive","Withrestrictions","No"
"CommonDevelopmentandDistributionLicense","SunMicrosystems","1.0","2004-12December1,2004","Permissive","?","Limited","?","?","?","?"
"CommonPublicLicense","IBM","1.0","2001May2001","Permissive","?","Copylefted","?","?","?","?"
"CryptixGeneralLicense","CryptixFoundation","N/A","1995","Permissive","Permissive","Permissive","Manually","Yes","?","Manually"
"EclipsePublicLicense","EclipseFoundation","2.0","August24,2017","Permissive","Copylefted","Copylefted","Yes","Yes","Copylefted","No"
"EducationalCommunityLicense","IndianaUniversity","1.0","2007","Permissive","?","Permissive","?","?","?","?"
"EuropeanUnionPublicLicence","EuropeanCommission","1.2","2009May2017","Permissive,accordingtoEUlaw(Recitals10&15Directive2009/24/EC)","Copylefted,withanexplicitcompatibilitylist","Copylefted,withanexplicitcompatibilitylist","Yes","Yes","Copylefted,withanexplicitcompatibilitylist","No"
"FreeBSD","TheFreeBSDproject","N/A","1999April1999","Permissive","Permissive","Permissive","Manually","Permissive","Permissive","Manually"
"GNUAfferoGeneralPublicLicense","FreeSoftwareFoundation","3.0","2007","GNUGPLv3only","Copylefted","Copylefted","Yes","Nonetworkusage","Copylefted","Yes"
"GNUGeneralPublicLicense","FreeSoftwareFoundation","3.0","2007June2007","GPLv3compatibleonly","Copylefted","Copylefted","Yes","Yes","Copylefted","Yes"
"GNULesserGeneralPublicLicense","FreeSoftwareFoundation","3.0","2007June2007","Withrestrictions","Copylefted","Copylefted","Yes","Yes","Copylefted","Yes"
"IBMPublicLicense","IBM","1.0","1999August1999","Copylefted","?","Copylefted","?","?","?","?"
"ISClicense","InternetSystemsConsortium","N/A","2003June2003","Permissive","Permissive","Permissive","Manually","Permissive","Permissive","Manually"
"LaTeXProjectPublicLicense","LaTeXproject","1.3c","?","Permissive","?","Permissive","?","?","?","?"
"MicrosoftPublicLicense","Microsoft","N/A","?","Copylefted","Copylefted","Copylefted","No","Permissive","?","No"
"MITlicense/X11license","MIT","N/A","1988","Permissive","Permissive","Permissive","Manually","Yes","Permissive","Manually"
"MozillaPublicLicense","MozillaFoundation","2.0","2012January3,2012","Permissive","Copylefted","Copylefted","Yes","Yes","Copylefted","No"
"NetscapePublicLicense","Netscape","1.1","?","Limited","?","Limited","?","?","?","?"
"OpenSoftwareLicense","LawrenceRosen","3.0","2005","Permissive","Copylefted","Copylefted","Yes","Yes","Copylefted","?"
"OpenSSLlicense","OpenSSLProject","N/A","?","Permissive","?","Permissive","?","?","?","?"
"PHPLicense","PHPGroup","3.01","2019","Withrestrictions","Withrestrictions","Withrestrictions","Yes","Yes","Withrestrictions","Manually"
"PythonSoftwareFoundationLicense","PythonSoftwareFoundation","3.9.1","2020-10-05","Permissive","Permissive","Permissive","Yes","Permissive","Permissive","No"
"QPublicLicense","Trolltech","?","?","Limited","?","Limited","?","?","?","?"
"SleepycatLicense","SleepycatSoftware","N/A","1996","Permissive","Withrestrictions","Permissive","No","Yes","No","No"
"Unlicense","unlicense.org","1","2010December2010","Permissive/Publicdomain","Permissive/Publicdomain","Permissive/Publicdomain","?","Permissive/Publicdomain","Permissive/Publicdomain","?"
"W3CSoftwareNoticeandLicense","W3C","20021231","2002December31,2002","Permissive","?","Permissive","?","?","?","?"
"DoWhatTheFuckYouWantToPublicLicense(WTFPL)","BanluKemiyatorn,SamHocevar","2","2004December2004","Permissive/Publicdomain","Permissive/Publicdomain","Permissive/Publicdomain","No","Yes","Yes","No"
"XCoreOpenSourceLicensealsoseparate""HardwareLicenseAgreement""","XMOS","?","2011February2011","Permissive","Permissive","Permissive","Manually","Yes","Permissive","?"
"XFree861.1License","TheXFree86Project,Inc","?","?","Permissive","?","Permissive","?","?","?","?"
"zlib/libpnglicense","Jean-LoupGaillyandMarkAdler","?","?","Permissive","?","Permissive","?","?","?","?"
