"","AmazonFPS","CheckoutbyAmazon","GoogleCheckout","PayPalExpress"
"ApacheOFBiz","No","Yes","Yes","Yes"
"Batavi","No","No","No","No"
"BigCommerce","No","No","No","Yes"
"DrupalCommerce","Yes","add-on","Yes","Yes"
"Magento","Yes","add-on","Yes","Yes"
"nopCommerce","Yes","Yes","Yes","Yes"
"osCommerce","No","add-on","No","Yes"
"pimcore","No","No","No","No"
"PrestaShop","Yes","Yes","Yes","Yes"
"Shopify","No","No","Yes","Yes"
"WooCommerce","No","Yes","Yes","Yes"
"ZenCart","No","add-on","add-on","Yes"
"","AmazonFPS","CheckoutbyAmazon","GoogleCheckout","PayPalExpress"
