"","AustraliaPost","CanadaPost","DHL","FedEx","UnitedStatesPostalService","UPS"
"ApacheOFBiz","No","No","Yes","Yes","Yes","Yes"
"Batavi","No","No","No","No","No","No"
"BigCommerce","Yes","Yes","No","Yes","Yes","Yes"
"KonaKart","No","No","No","Yes","Yes","Yes"
"Magento","No","No","Yes","Yes","Yes","Yes"
"nopCommerce","No","No","No","Yes","Yes","Yes"
"osCommerce","No","No","No","No","No","No"
"PrestaShop","webservice","No","No","Yes","Yes","Yes"
"Shopify","No","No","No","No","No","No"
"WooCommerce","Yes","Yes","No","No","Yes","No"
"ZenCart","No","No","add-on","add-on","add-on","add-on"
"","AustraliaPost","CanadaPost","DHL","FedEx","UnitedStatesPostalService","UPS"
