"Product","total#offormats",".cbr/.cbz",".chm",".djvu",".epub",".fb2",".html",".mobi",".pdb",".pdf",".rtf",".txt"
"ApabiReader","3","No","No","No","Yes","No","No","No","No","Yes","No","Yes"
"Blio","2","No","No","No","Yes","No","No","No","No","Yes","No","No"
"BluefireReader","2","No","No","No","Yes","No","No","No","No","Yes","No","No"
"BookFusion","10+","Yes","No","No","Yes","No","No","Yes","No","Yes","Yes","Yes"
"DLReader","2","No","No","No","Yes","No","No","No","No","Yes","No","No"
"eBookMobi","10+","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"EbookReader","2","No","No","No","Yes","No","No","No","No","Yes","No","No"
"i2Reader","6+","No","No","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"AppleBooks","2","No","No","No","Yes","No","No","No","No","Yes","No","No"
"Kindle","2","No","No","No","No","No","No","Yes","No","Yes","No","No"
"KoboReadingApp","2","No","No","No","Yes","No","No","No","No","Yes","No","No"
"KyBook","8","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes"
"KyBook2","16","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"MapleRead","2","No","No","No","Yes","No","No","No","No","Yes","No","No"
"Marvin","2","Yes","No","No","Yes","No","No","No","No","No","No","No"
"MegaReader","1","No","No","No","Yes","No","No","No","No","No","No","No"
"PocketBookreader","8+","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes"
"ShuBook2","5+","No","No","No","Yes","No","No","No","Yes","Yes","Yes","Yes"
"SideBooks","2","Yes","No","No","No","No","No","No","No","Yes","No","No"
"Stanza","5+","Yes","No","Yes","Yes","No","No","No","Yes","Yes","No","No"
"uBooksXL","5","No","No","No","Yes","Yes","Yes","No","No","No","No","Yes"
"iBouquiniste","5","No","No","No","Yes","Yes","Yes","No","No","Yes","No","Yes"
"Product","total#offormats",".cbr/.cbz",".chm",".djvu",".epub",".fb2",".html",".mobi",".pdb",".pdf",".rtf",".txt"
