"System","Web","Mobileweb","Email","CLI","GUI","REST","SOAP","Mylyn","VisualStudio","IntelliJIDEA","Others"
"ApacheBloodhound","Yes","No","Optional","No","No","No","No","Yes","No","No","YesXMLRPC"
"AssemblaTickets","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No"
"Axosoft","Yes","No","Yes","No","Yes","Yes","Yes","No","No","No","Yes-iPhone"
"Bugzilla","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","YesXMLRPC"
"Debbugs","No","No","Yes","Yes","No","No","No","No","No","No","No"
"Dolibarr","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No"
"FaveoHelpdesk","Yes","No","Yes","No","No","Yes","No","No","No","No","Yes-AndroidAppiOSApp"
"FogBugz","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","YesXML"
"Fossil","Yes","No","No","Yes","No","No","No","No","No","No","No"
"FusionForge","Yes","No","No","No","No","No","Yes","No","No","No","No"
"GLPI","Yes","No","Yes","No","No","Yes","No","No","No","No","No"
"GNATS","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No"
"HelixALM","Yes","No","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes-XML"
"HPQualityCenter","Yes","No","No","No","Yes","Yes","No","Yes","No","Yes,viaplugin","Yes]"
"Jira","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes-AndroidApp,iPhoneApp"
"Launchpad","Yes","No","Yes","No","No","Yes","No","No","No","No","Yes-Python"
"MantisBT","Yes","No","Yes","No","No","No","Yes","Yes","No","Yes","Yes-AndroidApp"
"MicrosoftDynamicsCRM","Yes","No","Yes","No","No","No","Yes","No","No","No","No"
"org-mode","No","No","No","Yes","No","No","No","No","No","No","No"
"OTRS","Yes","No","Yes","No","No","Yes","Yes","No","No","No","No"
"Phabricator","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Yes,viaplugin","No"
"PivotalTracker","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes-XML,iOSApp"
"Redmine","Yes","Yes","Yes","Partial","No","Yes","No","Yes","No","Yes","Yes-AndroidApp,iOSApp"
"RequestTracker","Yes","YesResponsivelayoutafter1.5.0.Partialinpreviousversions.","Yes","Yes","No","Yes","No","No","No","No","No"
"Roundup","Yes","Nocanbeimplementedintrackerinstance","Yes","Yes","No","Yesnewin2.0","No","No","No","No","YesXMLRPC"
"StarTeam","Yes","No","No","No","Yes","No","No","No","Yes","No","No"
"Supportworks","Yes","No","Yes","No","Yes","Yes","No","No","No","No","No"
"SysAid","Yes","No","Yes","No","Yes","Yes","Yes","No","No","No","No"
"TeamFoundationServer","Yes","No","Yes","Yes","No","No","Yes","Yes","No","Yes,viaplugin","No"
"Trac","Yes","No","Optional","No","No","No","No","Yes","No","Yes","YesXMLRPC"
"TrackerSuite.Net","Yes","No","Yes","No","No","No","No","No","No","No","No"
"Trello","Yes","Yes","Yes","No","No","Yes","No","No","No","Yes","No"
"Tuleap","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","No","No"
"Twproject","Yes","No","Yes","No","No","No","No","No","No","No","No"
"Wrike","Yes","No","No","No","No","No","No","No","No","Yes,viaplugin","No"
"YouTrack","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No"
"Zammad","Yes","No","Yes","Yes","No","Yes","No","No","No","No","No"
"System","Web","MobileWeb","Email","CLI","GUI","REST","SOAP","Mylyn","VisualStudio","IntelliJIDEA","Others"
