"RegExpobject","MSHTML","Gecko","WebKit","Presto"
"Calledasfunction","Calledasfunction","Calledasfunction","Calledasfunction","Calledasfunction"
"RegExp(pattern,flags)","?","?","?","?"
"Calledasconstructor","Calledasconstructor","Calledasconstructor","Calledasconstructor","Calledasconstructor"
"newRegExp(pattern,flags)","4.0","1.0","Yes","1.0"
"Properties","Properties","Properties","Properties","Properties"
"prototype","4.0","1.0","Yes","1.0"
"Propertiesofprototype","Propertiesofprototype","Propertiesofprototype","Propertiesofprototype","Propertiesofprototype"
"constructor","4.0","1.0","Yes","1.0"
"exec(string)","4.0","1.0","Yes","1.0"
"test(string)","4.0","1.0","Yes","1.0"
"toString()","4.0","1.0","Yes","1.0"
"Propertiesofinstances","Propertiesofinstances","Propertiesofinstances","Propertiesofinstances","Propertiesofinstances"
"source","4.0","1.0","Yes","1.0"
"global","4.0","1.0","Yes","1.0"
"ignoreCase","5.5","1.0","Yes","1.0"
"multiline","5.5","1.0","Yes","1.0"
"lastIndex","4.0","1.0","Yes","1.0"
