"","","MSHTML","EdgeHTML","Gecko","WebKit","Blink","KHTML","Presto"
"AVIF","AVIF","No","No","Yes","No","Yes","No","No"
"JPEG","JPEG","3.0","Yes","1.0","85","Yes","Yes","1.0"
"JPEG2000","JPEG2000","No","No","No","Dropped","No","No","No"
"JPEGXL","JPEGXL","No","Nightlybuild","Nightlybuild","No","Nightlybuild","No","No"
"JPEGXR","JPEGXR","5.0","Yes","No","No","No","No","No"
"GIF","GIF89a","3.0","Yes","1.0","85","Yes","Yes","1.0"
"GIF","GIF87a","3.0","Yes","1.0","85","Yes","Yes","1.0"
"PNG","1.2","3.1","Yes","1.0","85","Yes","Yes","1.0"
"PNG","1.1","3.1","Yes","1.0","85","Yes","Yes","1.0"
"PNG","1.0","3.1","Yes","1.0","85","Yes","Yes","1.0"
"APNG","APNG","No","No","3.0","528","59.0","No","9.5"
"BMP","BMP","Yes","Yes","Yes","Yes","Yes","Yes","1.0"
"ICO","ICO","Yes","Yes","Yes","Yes","Yes","Yes","1.0"
"TIFF","TIFF","5.0","Yes","No","No","No","Yes","No"
"WebP","WebP","No","17","65","534.10","Yes","No","2.8.131"
