"Client","Primarydevelopers","Cost","Softwarelicense","Userinterface","Programminglanguage","Computingplatform","Website"
"AndroidChat","","Free","GNUGPL","TUI,GUI","Java","Android","[1]"
"MobileColloquy","KijiRoshi","US$1.99","BSDLicense","GUI","Objective-C","iOS","[2]"
"fIRC","LaurenceMuller","Free","GNUGPL","GUI","Java","Android","[3]"
"Igloo","JordanKoch","US$5.99","Proprietary","GUI","Swift","iOS","[4]"
"IRCCloud","IRCCloudLtd.","Freemium","Apache2.0","GUI","Objective-C,Java","iOS,Android","[5]"
"jmIrc","JuhoVähä-Herttua","Free","GNUGPL","GUI","Java","JavaME","[6]"
"k-IRC","ArmondAvanes","Free","GNUGPL","GUI","Java","JavaME","[7]"
"microirc","","Free","GNUGPL","GUI","C?","WindowsMobile5(andabove)","[8]"
"RevolutionIRC","MCMrARM","Free","GNUGPL","GUI","Java","Android","[9]"
"Virca","","Free","GNUGPL","TUI","Java","JavaME","[10]"
"wIRC","","Free","GNUGPL","GUI","C&JavaScript","WebOS","[11]"
"WLIrc","SverreKristianValskrå","Free","GNULGPL","GUI","Java","JavaME","[12]"
"Yaaic","SebastianKaspari","Free","GNUGPL","GUI","Java","Android","[13]"
"SimpleIRC","TheLinuxGeek","Free","GNUGPL","GUI","Java","Android","[14]"
"zsIRC","Gargaj","Free","3-clauseBSD","GUI","C++","WindowsMobile","[15]"
"Client","Primarydevelopers","Cost","Softwarelicense","Userinterface","Programminglanguage","Computingplatform","Website"
