"Feature","Android","iOS","Tizen","SailfishOS","UbuntuTouch"
"While-in-usepermissions","10+","11+:Locationonly","No","No","Yes"
"Per-appInternetaccess","No,3rdpartysoftware","7+:Cellularonly;3rdpartysoftwareonjailbrokendevices","No","No","No"
"Per-appidentityaccess","8+","6+","No","No","Yes"
"Per-appuserdataaccess","6+","6+","No","No","Yes"
"Per-appbackgroundexecution","No,3rdpartyappsavailable","7+","No","No","Backgroundexecutionnotallowed"
"Per-appnotifications","4.1+","5+","No","No","Yes"
"Per-applocationaccess","6+","4+","No","No","Yes"
"Per-appcameraaccess","6+","8+","No","No","Yes"
"Per-appmicrophoneaccess","6+","7+","No","No","Yes"
"Per-appsharedfilesaccess","6+","8+","No","No","Yes"
"Per-appnetworkdatausageauditing","4+","Yes","?","No","No"
"Finegrainedstorageusage","Yes","5+","?","No","Yes"
"Parentalcontrols","4.3+or3rdpartysoftware","Yes","?","No","No"
"Screenorientationlock","Yes","Yes","?","1.0.4+","Yes"
"Filemanager","6.0+","11+","3rdpartysoftware","Yes","Yes"
"Filemanagerwriteaccesstoexternalstorage","6+Or3rdpartysoftwarelikeLineageOS","13+","Yes","Yes","Yes"
"Multi-user","4.2+,includingphones5+","9.3+:EducationuseonlyoniPad","No","3.4.0+","No"
"Guestmode","5+","6+","No","3.4.0+","No"
"GuidedAccess","No","Yes","No","No","No"
"Donotdisturbmode","5+","6+","No","No","No"
"Appgroups","Yes","4+","?","1.0.7+","Yes"
