"Driver","Chipset","Integration","Freefirmware","License","Development","Freesoftware"
"ath","AtherosAR5211/AR5212/AR5213/AR5214","IntegratedwithSolarisNevadabuild29","Nofirmwarerequired","DualGPL/BSDwithproprietaryHAL","PortofMadwifi","No"
"ipw","IntelPRO/Wireless2100","Communityproject","No","BSD","PortedfromOpenBSD","Yes"
"iwi","IntelPRO/Wireless2200BG/2225BG/2915ABG","Communityproject","No","BSD","PortedfromOpenBSD","Yes"
"pcan","CiscoAironet340/350","Communityproject","N/A","BSD","PortedfromFreeBSD","Yes"
"pcwl","Lucent/AgereSystemsHermes(WaveLAN/ORiNOCO),IntersilPRISM-2802.11b","Communityproject","N/A","BSD","PortedfromFreeBSD","Yes"
"ral","RalinkRT2500","Communityproject","N/A","BSD","PortedfromOpenBSD","Yes"
"rtw","RealtekRTL8180L","Communityproject","N/A","BSD","PortedfromNetBSD","Yes"
"malo","Marvell88W8335/88W8310","Communityproject","N/A","BSD","PortedfromOpenBSD","Yes"
"wpi","IntelPRO/Wireless3945ABG","Communityproject","No","BSD","PortedfromOpenBSD","Yes"
"iwk","IntelWirelessWiFiLink4965AGN","Communityproject","No","BSD","PortedfromOpenBSD","Yes"
"arn","Atheros9000","Communityproject","No","BSD","basedonath9k","Yes"
"rwd","RalinkRT2561/RT2561S/RT2661","Communityproject","No","BSD","","Yes"
"rwn","RalinkRT2700/2800","Communityproject","No","BSD","","Yes"
"urtw","RealtekRTL8187L/BUSB","Communityproject","No","BSD","","Yes"
"atu","AtmelAT76C50x","Communityproject","No","BSD","","Yes"
"mwl","Marvell88W8363","Communityproject","No","BSD","","Yes"
"ural","RalinkRT2500USB","Communityproject","No","BSD","","Yes"
"zyd","ZyDASZD1211chipsets","Communityproject","Yes","BSD","PortedfromOpenBSD","Yes"
