"Language","FailsafeI/O"
"1C:Enterprise","Yes"
"Ada","Yes(exceptions)"
"ALGOL","Yes(exceptionsorreturnvaluedependingonfunction)"
"AutoHotkey","No(globalErrorLevelmustbeexplicitlychecked)"
"Bash","Optional"
"Ballerina","Yes"
"Bro","Yes"
"C","No"
"C++","Some(STLiostreamsthrowonfailurebutCAPIslikestdioorPOSIXdonot)"
"C#","Yes"
"COBOL","No"
"CommonLisp","Yes(""conditionsandrestarts""system)"
"Curry","Yes"
"D","Yes(throwingonfailure)"
"Eiffel","No–Itactuallydependsonthelibraryanditisnotdefinedbythelanguage"
"Erlang","Yes"
"Fortran","Yes"
"GLBasic","No–Willgenerallycauseprogramtocrash"
"Go","Yes(unlessresultexplicitlyignored)"
"Gosu","Yes"
"Harbour","Yes"
"Haskell","Yes"
"ISLISP","Yes"
"Java","Yes"
"Julia","Yes"
"Kotlin","Yes"
"LabVIEW","Yes"
"Lua","No(somefunctionsdonotwarnorthrowexceptions)"
"Mathematica","Yes"
"ObjectPascal","Some"
"Objective-C","Yes(exceptions)"
"OCaml","Yes(exceptions)"
"OpenLisp","Yes"
"Perl","No"
"PHP","Yes"
"Python","Yes"
"Raku","Yes"
"Rebol","Yes"
"Rexx","Yes(withoptionalsignalon...traphandling)"
"RPG","No"
"Ruby","Yes"
"Rust","Yes(unlessresultexplicitlyignored)"
"S","Unknown"
"Smalltalk","Yes"
"Scala","Yes"
"StandardML","Yes"
"Swift?2.0","Yes(exceptions)"
"Tcl","Yes"
"VisualBasic","Yes"
"VisualBasic.NET","Yes"
"VisualProlog","Yes"
"WolframLanguage","Yes"
"Xojo","Yes"
"XPath/XQuery","Yes(exceptions)"
"Language","FailsafeI/O"
