"Server","Windows","Linux","macOS","BSD","Solaris","eComStation","OpenVMS","AIX","IBMi","z/OS","HP-UX"
"AOLserver","No","Yes","Yes","Yes","Yes","No","No","Unknown","No","Unknown","Unknown"
"ApacheHTTPServer","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ApacheTomcat","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"Boa","Unknown","Yes","No","Yes","Unknown","No","No","Unknown","No","Unknown","Unknown"
"BusyBoxhttpd","No","Yes","Unknown","Yes","No","No","No","No","No","No","No"
"Caddy","Yes","Yes","Yes","Yes","Yes","No","No","Unknown","Unknown","Unknown","Unknown"
"CauchoResinServer","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Caudium","No","Yes","Yes","Yes","Yes","No","No","Yes","No","Unknown","Unknown"
"CherokeeHTTPServer","No","Yes","Yes","Yes","Yes","No","No","Unknown","No","Unknown","Unknown"
"HFS","Yes","No","No","No","No","No","No","No","No","No","No"
"Hiawatha","withCygwin","Yes","Yes","Yes","Yes","No","No","No","No","No","No"
"IBMHTTPServer","Yes","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Yes"
"InternetInformationServices","Yes","No","No","No","No","No","No","No","No","No","No"
"Jetty(Java)","Yes","Yes","Yes","Yes","Yes","Yes","No","Unknown","No","Yes","Unknown"
"Jexus","No","Yes","No","Yes","Unknown","No","No","No","No","No","No"
"lighttpd","Yes(Cygwin)","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes"
"LiteSpeedWebServer","No","Yes","Yes","Yes","Yes","No","No","Unknown","No","Unknown","Unknown"
"Mongoose","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes"
"MonkeyHTTPServer","No","Yes","Yes","No","No","No","No","No","No","No","No"
"NaviServer","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","Yes","No","Unknown","Unknown"
"NCSAHTTPd","Unknown","Yes","No","Yes","Yes","Yes","No","Unknown","No","Unknown","Yes"
"nginx","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes"
"OpenLinkVirtuoso","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes"
"OracleHTTPServer","Yes","Yes","No","Unknown","Yes","No","No","Yes","No","Unknown","Unknown"
"OracleiPlanetWebServer","Yes","Yes","No","No","Yes","No","No","Yes","No","No","Yes"
"thttpd","Yes(Cygwin)","Yes","Yes","Yes","Yes","No","No","Unknown","No","Unknown","Unknown"
"TUXwebserver","No","Yes","No","No","No","No","No","No","No","No","No"
"WakandaServer","Yes","Yes(vialibbsd)","Yes","Yes","Unknown","No","No","No","No","No","No"
"Xitami","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Unknown","Yes"
"Yaws","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Unknown","Unknown"
