"Model(Codename)","Launch","ArchitectureFab","TransistorsDieSize","Core","Fillrate","Processingpower(GFLOPS)","Memory","TDP(Watts)","Memory","Memory","Core","Fillrate","Processingpower(GFLOPS)","Memory","TDP(Watts)","Businterface","ReleasePrice(USD)"
"Model(Codename)","Launch","ArchitectureFab","TransistorsDieSize","Config","Clock(MHz)","Texture(GT/s)","Pixel(GP/s)","Single","Businterface","ReleasePrice(USD)","Double","Size(MiB)","Clock(MHz)","Bustype&width(bit)","Bandwidth(GB/s)","Idle","Max."
"RadeonHD7350(Cedar)","January2012","TeraScale240nm","292×1059mm","80:8:4","400650","3.25.2","1.62.6","104","N/A","256512","400800900","DDR2DDR364-bit","6.412.8","6.4","19.1","PCIe2.1×16","OEM"
"RadeonHD7450(Caicos)","January2012","TeraScale240nm","370×1067mm","160:8:4","625750","5.06.0","2.53.0","200240","N/A","5121024","533800","DDR364-bit","8.512.8","9","18","PCIe2.1×16","OEM"
"RadeonHD7470(Caicos)","January2012","370×1067mm","TeraScale240nm","160:8:4","625775","5.06.2","2.53.1","200248","N/A","5121024","800900","DDR3GDDR564-bit","12.814.4","9","27","PCIe2.1×16","OEM"
"RadeonHD7510(TurksLE)","February2013","TeraScale240nm","716×10118mm","320:16:4","650","10.4","2.6","416","N/A","1024","667","DDR3128-bit","21.3","Unknown","Unknown","PCIe2.1×16","OEM"
"RadeonHD7570(TurksPro-L)","January2012","716×10118mm","TeraScale240nm","480:24:8","650","15.6","5.2","624","N/A","5121024","9001000","DDR3GDDR5128-bit","28.864","1011","4460","PCIe2.1×16","OEM"
"RadeonHD7670(TurksXT)","January2012","716×10118mm","TeraScale240nm","480:24:8","800","19.2","6.4","768","N/A","5121024","1000","GDDR5128-bit","64","12","66","PCIe2.1×16","OEM"
"RadeonHD7730(CapeVerdeLE)","April2013","GCN1gen28nm","1500×10123mm","384:24:8","800","19.2","6.4","614.4","38.4","1024","1125","DDR3GDDR5128-bit","25.672","10","47","PCIe3.0×16","$60"
"RadeonHD7750(CapeVerdePro)","February2012","GCN1gen28nm","1500×10123mm","512:32:16","800900","25.628.8","12.814.4","819.2921.6","51.257.6","102420484096","8001125","DDR3GDDR5128-bit","25.672","10","55","PCIe3.0×16","$110"
"RadeonHD7770GHzEdition(CapeVerdeXT)","February2012","GCN1gen28nm","1500×10123mm","640:40:16","1000","40","16","1280","80","10242048","1125","GDDR5128-bit","72","10","80","PCIe3.0×16","$160"
"RadeonHD7790(BonaireXT)","March2013","GCN2gen28nm","2080×10160","896:56:16","1000","56.0","16.0","1792","128","10242048","1500","GDDR5128-bit","96","10","85","PCIe3.0×16","$150"
"RadeonHD7850(PitcairnPro)","March2012","GCN1gen28nm","2800×10212mm","1024:64:32","860","55.04","27.52","1761.28","110.08","10242048","1200","GDDR5256-bit","153.6","10","130","PCIe3.0×16","$250"
"RadeonHD7870GHzEdition(PitcairnXT)","March2012","GCN1gen28nm","2800×10212mm","1280:80:32","1000","80","32","2560","160","2048","1200","GDDR5256-bit","153.6","10","175","PCIe3.0×16","$350"
"RadeonHD7870XT(TahitiLE)","November2012","GCN1gen28nm","4313×10352mm","1536:96:32","925975","88.8","29.6","2841.62995.2","710.4748.8","2048","1500","GDDR5256-bit","192.0","15","185","PCIe3.0×16","$270"
"RadeonHD7950(TahitiPro)","January2012","4313×10352mm","GCN1gen28nm","1792:112:32","800","89.6","25.6","2867.2","717","3072","1250","GDDR5384-bit","240","15","200","PCIe3.0×16","$450"
"RadeonHD7950Boost(TahitiPro2)","August2012","4313×10352mm","GCN1gen28nm","1792:112:32","850925","103.6","29.6","3046.43315.2","761.6828.8","3072","1250","GDDR5384-bit","240","15","225","PCIe3.0×16","$330"
"RadeonHD7970(TahitiXT)","January2012","4313×10352mm","GCN1gen28nm","2048:128:32","925","118.4","29.6","3788.8","947.2","30726144","1375","GDDR5384-bit","264","15","250","PCIe3.0×16","$550"
"RadeonHD7970GHzEdition(TahitiXT2)","June2012","4313×10352mm","GCN1gen28nm","2048:128:32","10001050","128.0","32","40964300.8","10241075","30726144","1500","GDDR5384-bit","288","15","250","PCIe3.0×16","$500"
"RadeonHD7990(NewZealand)","April2013","GCN1gen28nm","2×4313×10352mm","2×2048:128:32","9501000","2×128","2×32","7782.48192","1945.62048","2×3072","1500","GDDR5384-bit","2×288","15","375","PCIe3.0×16","$1000"
"Model(Codename)","Launch","ArchitectureFab","TransistorsDieSize","Config","Clock(MHz)","Texture(GT/s)","Pixel(GP/s)","Single","Double","Size(MiB)","Clock(MHz)","Bustype&width(bit)","Bandwidth(GB/s)","Idle","Max.","Businterface","ReleasePrice(USD)"
"Core","Fillrate","Processingpower(GFLOPS)","Memory","TDP(Watts)","Memory","Memory","Model(Codename)","Launch","ArchitectureFab","TransistorsDieSize","Core","Fillrate","Processingpower(GFLOPS)","Memory","TDP(Watts)","Businterface","ReleasePrice(USD)"
