"Model(Codename)","Launch","Architecture(Fab)","Core","Fillrate","Core","Memory","Memory","Memory","Fillrate","Processingpower(GFLOPS)","Memory","TDP"
"Model(Codename)","Launch","Architecture(Fab)","Config","Clock(MHz)","Processingpower(GFLOPS)","Texture(GT/s)","TDP","Pixel(GP/s)","Bustype&width","Size(GiB)","Clock(MT/s)","Band-width(GB/s)"
"RadeonR5M230(JetPro)","January2014","GCN1gen(28nm)","320:20:8:5","780855","3.4","17.1","547","DDR364-bit","24","1000","16","Unknown"
"RadeonR5M255(JetPro)","June2014","GCN1gen(28nm)","320:20:8:5","925940","7.5","18.8","601","DDR364-bit","24","1000","16","Unknown"
"RadeonR7M260(Topaz)","June2014","GCN1gen(28nm)","384:24:8:6","620980","5.77.8","17.223.5","549.1752.6","DDR364-bit","24","1000","3216","Unknown"
"RadeonR7M260X(Opal)","June2014","GCN1gen(28nm)","384:24:8:6","620715","5.7","17.2","549","GDDR5128-bit","24","1000","64","Unknown"
"RadeonR7M265(OpalXT)","May2014","GCN1gen(28nm)","384:24:8:6","725825","6.6","19.8","633.6","DDR364-bit","24","1000","1632","Unknown"
"RadeonR9M265X(VenusPro)","May2014","GCN1gen(28nm)","640:40:16:10","575625","10","25","800","GDDR5128-bit","24","1125","72","Unknown"
"RadeonR9M270X(VenusXT)","May2014","GCN1gen(28nm)","640:40:16:10","725775","12.4","31","992","GDDR5128-bit","24","1125","72","Unknown"
"RadeonR9M275X(VenusXTX)","May2014","GCN1gen(28nm)","640:40:16:10","900925","14.8","37","1184","GDDR5128-bit","24","1125","72","50W"
"RadeonR9M280X(SaturnXT)","February2015","GCN2gen(28nm)","896:56:16:14","10001100","17.6","61.6","1792","GDDR5128-bit","24","1500","96","~75W"
"RadeonR9M290X(NeptuneXT)","May2014","GCN1gen(28nm)","1280:80:32:20","850900","28.8","72","21762304","GDDR5256-bit","4","1200","153.6","100W"
"RadeonR9M295X(AmethystXT)","November2014","GCN3gen(28nm)","2048:128:32:32","750800","25.6","102.4","3276.8","GDDR5256-bit","4","1375","176","250W"
