"Model","Launch","Micro-archi-tecture","Codename","Fab(nm)","Businter-face","Clockrate","Clockrate","Fillrate","Memory","Processingpower(GFLOPS)","APIcompliance(version)","APIcompliance(version)","APIcompliance(version)","Memory","Memory","Coreconfig","Fillrate","Memory","Processingpower(GFLOPS)","APIcompliance(version)","TDP(Watts)","Notes"
"Model","Launch","Micro-archi-tecture","Codename","Fab(nm)","Businter-face","Core(MHz)","Coreconfig","Memory(MHz)","Pixel(GP/s)","Texture(GT/s)","Size(GiB)","TDP(Watts)","Notes","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Singleprecision","Doubleprecision","DirectX","OpenGL","OpenCL","Vulkan"
"FireProS4000x","August7,2014","GCN1stGen","VenusXT","28","PCIe3.0x16","950","1200","640:40:16:10","11.6","29","2","72","GDDR5","256","992","62","11.112.0","4.5","1.2","1.0","<45","TypeAMXMformfactor,Nophysicaldisplayoutputs,"
"FireProS7000","August27,2012","GCN1stGen","PitcairnXT","28","PCIe3.0x16","950","1200","1280:80:32:20","30.4","76","4","153.6","GDDR5","256","2432","152","11.112.0","4.5","1.2","1.0","<150","OneDP"
"FireProS7100X","May25,2016","GCN3rdgen","AmethystXT","28","PCIe3.0x16","723","1050","2048:128:32:32","23.14","92.5","8","160","GDDR5","256","2961","TBA","11.212.0","4.5","2.0","1.1","100","ForBladeServers,MXMModule3.1"
"FireProS7150","February1,2016","GCN3rdgen","TongaPROGL","1050","28","PCIe3.0x16","1250","1792:112:32:28","8","160","33.6","117.6","11.212.0","2.0","1.1","3763","250","150","GDDR5","256","ECCRAM,twoSlots","4.5"
"FireProS7150X2","February1,2016","2×TongaPROGL","1050","1250","GCN3rdgen","33.6","117.6","2×1792:112:32:28","16","28","PCIe3.0x16","2×160","7540","500","265","ECCRAM,nophysicaldisplayoutputs","GDDR5","11.212.0","2.0","1.1","256","4.5"
"FireProS9000","August27,2012","GCN1stgen","TahitiPROGL","28","PCIe3.0x16","900","1375","1792:112:32:28","28.8","100.8","6","264","GDDR5","384","3225.6","806.4","11.112.0","4.5","1.2","1.0","<225","ECCRAM,OneDP"
"FireProS9050","August6,2014","GCN1stgen","TahitiPROGL","900","1375","1792:112:32:28","28.8","100.8","12","264","384","3225.6","806.4","11.112.0","1.2","1.0","<225","ECCRAM,OneDP","28","PCIe3.0x16","GDDR5","4.5"
"FireProS9100","October2,2014","12","GCN2ndgen","HawaiiProGL","28","PCIe3.0x16","824","1250","2560:160:64:40","52.74","131.8","320","512","GDDR5","11.112.0","4219","1.0","<225","2109","2.0","ECCRAM,Nophysicaldisplayoutputs","4.5"
"FireProS9150","August6,2014","GCN2ndgen","HawaiiXTGL","900","1250","28","PCIe3.0x16","2816:176:64:44","320","512","57.6","158.4","2.0","ECCRAM,Nophysicaldisplayoutputs","16","5070","2530","11.212.0","GDDR5","<235","4.5","1.0"
"FireProS9170","July8,2015","GCN2ndgen","GrenadaXTGL","2816:176:64:44","930","28","PCIe3.0x16","1375","59.52","11.212.0","320","512","163.68","32","2.0","5240","2620","<275","GDDR5","ECCRAM,FullThroughputdoubleprecision,nophysicaldisplayoutputs","4.5","1.0"
"FireProS9300x2","March31,2016","GCN3rdgen","2×CapsaicinXT","28","PCIe3.0x16","850","2x500","2×4096:256:64:64","54.4","11.212.0","217.6","2×4","2×512","2.0","HBM","2x4096","13900","868","1.1","4.5","300","Non-ECCRAM,half-precision(FP16)support,nophysicaldisplayoutputs"
"FireProS10000","November12,2012","GCN1stgen","2×Zaphod(TahitiProGL)","28","PCIe3.0x16","825","1250","2×1792:112:32:28","52.8","184.8","2×3","2×240","GDDR5","384","5913.6","1478.4","11.112.0","4.5","1.2","1.0","<375","ECCRAM,4xDP,1xDVI-I"
"FireProS10000passive","November12,2012","GCN1stgen","2×TahitiPROGL","825","1250","2×1792:112:32:28","52.8","184.8","2×3","2×240","GDDR5","384","5913.6","1478.4","11.112.0","1.2","1.0","<375","ECCRAM,1xMiniDP,1xDVI-I","28","PCIe3.0x16","4.5"
