"Product","Vendor","Edition","ReleaseDate","Framework","Compatibility","License"
"ActiveVOS","ActiveEndpoints","8.0","2010-09","ServletorJavaEE","BPMN2.0;WS-BPEL","Proprietary"
"Activiti","AlfrescoandtheActiviticommunity","5.16.4","2014-10-16","Java","BPMN2.0","Apache2.0"
"ExpressBPEL-BPM","CodeBrew","3.0(SAASEdition)","2013-12-16","Java/ApacheAxis/Cassandra/Ignite","WS-BPEL2.0/HumanTask","Proprietary"
"ApacheODE","ASF","1.3.71.0.164","2016-11-102006-06-07","ApacheAxis,JBIJavaEE","BPEL4WS1.1,WS-BPEL2.0WS-HumanTaskwithApacheHISE","Apache2.0"
"BizTalkServer","Microsoft","Biztalk2010","2010",".NET","BPEL,BPMN,RFID,WSDL,UDDI,WS-*,...","Proprietary"
"Imixs-Workflow","Imixs","3.2.0","2015-04-05","JavaEE","BPMN2.0","GPL2.0"
"jBPM","jBoss","6.4.0","2016-03-23","JavaEE","BPMN2.0","Apache2.0"
"OpenESB","OpenESBCommunity","2.3.1","2013-10-01","JavaEE,JBI","WS-BPEL2.0","CDDL"
"OracleBPELProcessManager(formerlyCollaxaBPELOrchestrationServer)","OracleCorporation","11g","2010-04","JavaEE","WS-BPEL2.0,BPMN2.0","Proprietary"
"OW2Orchestra","OW2","4.9.0","2012-01-23","ApacheAxisApacheCXFOSGiJavaEE","WS-BPEL2.0","LGPL"
"PetalsBPELEngine","PetalsLink","1.0.1","2009-12-08","JavaEE","WS-BPEL2.0,WSDL1.1and2.0","LGPL"
"SAPExchangeInfrastructure","SAPAG","3.0","","","BPEL","Proprietary"
"VirtuosoUniversalServer","OpenLinkSoftware","4.5","2006","","UDDI,WS-BPEL,WS-*","GPLandProprietary"
"WebSphereProcessServer","IBM","6.0.1.3","2006-09-29","JavaEE","WS-BPEL","Proprietary"
