"Name","Releaseyear","Market","Processor","Codename","DeviceID","Clockrate","Clockrate","APIsupport","APIsupport","APIsupport","Coreconfig","APIsupport","eDRAM(MB)","Memorybandwidth(GB/s)"
"Name","Releaseyear","Market","Processor","Codename","DeviceID","Min(MHz)","Coreconfig","Max(MHz)","eDRAM(MB)","Memorybandwidth(GB/s)","Direct3D","OpenGL","OpenCL","Vulkan"
"HDGraphics500","2016","Mobile/Embedded","Atomx5-E3930","ApolloLake(Gen9LP)","5A85","400","550","96:12:2","12","4.64.6ES3.2","3.03.0","1.21.2","-","68.2"
"HDGraphics500","2016","Mobile/Embedded","Atomx5-E3940","ApolloLake(Gen9LP)","5A85","400","600","96:12:2","12","4.64.6ES3.2","3.03.0","1.21.2","-","68.2"
"HDGraphics500","2016","Mobile","CeleronN3350","ApolloLake(Gen9LP)","5A85","200","650","96:12:2","12","4.64.6ES3.2","3.03.0","1.21.2","-","38.4"
"Mobile","HDGraphics500","200","2016","38.4","CeleronN3450","700","ApolloLake(Gen9LP)","5A85","96:12:2","12","4.64.6ES3.2","3.03.0","1.21.2","-"
"HDGraphics500","2016","Desktop","CeleronJ3355","38.4","ApolloLake(Gen9LP)","5A85","250","700","96:12:2","12","4.64.6ES3.2","3.03.0","1.21.2","-"
"Desktop","HDGraphics500","250","2016","CeleronJ3455","750","38.4","ApolloLake(Gen9LP)","5A85","96:12:2","12","4.64.6ES3.2","3.03.0","1.21.2","-"
"HDGraphics505","2016","Mobile/Embedded","Atomx7-E3950","ApolloLake(Gen9LP)","5A84","500","650","144:18:3","12","4.64.6ES3.2","3.03.0","1.21.2","-","76.8"
"HDGraphics505","Mobile","2016","5A84","PentiumN4200","200","144:18:3","ApolloLake(Gen9LP)","750","38.4","12","4.64.6ES3.2","3.03.0","1.21.2","-"
"HDGraphics505","Desktop","2016","5A84","38.4","PentiumJ4205","250","144:18:3","ApolloLake(Gen9LP)","800","12","4.64.6ES3.2","3.03.0","1.21.2","-"
"HDGraphics510","2015","Mobile","Celeron3855UCeleron3955U","Skylake(Gen9)","1906","300","900","96:12:2(GT1)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-","34.1"
"HDGraphics510","2015","Mobile","Pentium4405U","Skylake(Gen9)","1906","300","950","96:12:2(GT1)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-","34.1"
"HDGraphics510","950","2015","Desktop","CeleronG3900TECeleronG3900ECeleronG3900TCeleronG3900CeleronG3902ECeleronG3920PentiumG4400TEPentiumG4400TCorei5-6402P","Skylake(Gen9)","1902","350","96:12:2(GT1)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-","34.1"
"Desktop","HDGraphics510","1902","350","2015","PentiumG4400","1000","Skylake(Gen9)","96:12:2(GT1)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-","34.1"
"Desktop","HDGraphics510","1902","350","2015","Corei3-6098P","1050","Skylake(Gen9)","96:12:2(GT1)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-","34.1"
"HDGraphics515","2015","Mobile","Pentium4405Y","Skylake(Gen9)","191E","300","800","192:24:3(GT2)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-","29.8"
"HDGraphics515","Mobile","Corem3-6Y30","191E","300","2015","192:24:3(GT2)","29.8","850","Skylake(Gen9)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-"
"HDGraphics515","Mobile","Corem5-6Y54Corem5-6Y57","191E","300","2015","192:24:3(GT2)","29.8","900","Skylake(Gen9)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-"
"HDGraphics515","Mobile","Corem7-6Y75","191E","300","2015","192:24:3(GT2)","29.8","1000","Skylake(Gen9)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-"
"HDGraphics520","2015","Mobile","Corei3-6006U","300","Skylake(Gen9)","192:24:3(GT2)","1916","900","34.1","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-"
"HDGraphics520","Mobile","Corei3-6100UCorei5-6200UCorei5-6300U","1916","2015","34.1","1000","Skylake(Gen9)","300","12FL12_1","192:24:3(GT2)","4.64.14.6ES3.2","3.01.23.0","1.21.2","-"
"HDGraphics520","Mobile","Corei7-6500UCorei7-6600U","1916","2015","34.1","1050","Skylake(Gen9)","300","12FL12_1","192:24:3(GT2)","4.64.14.6ES3.2","3.01.23.0","1.21.2","-"
"HDGraphics530","2015","Mobile","Corei3-6100H","Skylake(Gen9)","34.1","191B","192:24:3(GT2)","350","900","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-"
"HDGraphics530","Mobile","Corei3-6100ECorei3-6102ECorei5-6300HQCorei5-6440HQ","191B","350","2015","950","Skylake(Gen9)","12FL12_1","34.1","4.64.14.6ES3.2","192:24:3(GT2)","3.01.23.0","1.21.2","-"
"HDGraphics530","Mobile","Corei5-6440EQCorei5-6442EQCorei7-6820EQCorei7-6822EQ","191B","350","2015","1000","Skylake(Gen9)","12FL12_1","34.1","4.64.14.6ES3.2","192:24:3(GT2)","3.01.23.0","1.21.2","-"
"HDGraphics530","Mobile","Corei7-6700HQCorei7-6820HKCorei7-6820HQCorei7-6920HQ","191B","350","2015","1050","Skylake(Gen9)","12FL12_1","34.1","4.64.14.6ES3.2","192:24:3(GT2)","3.01.23.0","1.21.2","-"
"HDGraphics530","Desktop","2015","PentiumG4500TCorei3-6100TCorei3-6300TCorei5-6400TCorei5-6400","350","1912","Skylake(Gen9)","34.1","950","192:24:3(GT2)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-"
"Desktop","HDGraphics530","1912","Corei3-6100TECorei5-6500TECorei7-6700TECorei7-6700T","2015","1000","350","Skylake(Gen9)","12FL12_1","34.1","4.64.14.6ES3.2","192:24:3(GT2)","3.01.23.0","1.21.2","-"
"Desktop","HDGraphics530","1912","PentiumG4500PentiumG4520Corei3-6100Corei5-6500","2015","1050","350","Skylake(Gen9)","12FL12_1","34.1","4.64.14.6ES3.2","192:24:3(GT2)","3.01.23.0","1.21.2","-"
"Desktop","HDGraphics530","1912","Corei5-6500TCorei5-6600TCorei7-6700","2015","1100","350","Skylake(Gen9)","12FL12_1","34.1","4.64.14.6ES3.2","192:24:3(GT2)","3.01.23.0","1.21.2","-"
"Desktop","HDGraphics530","1912","Corei3-6300Corei3-6320Corei5-6600Corei5-6600KCorei7-6700K","2015","1150","350","Skylake(Gen9)","12FL12_1","34.1","4.64.14.6ES3.2","192:24:3(GT2)","3.01.23.0","1.21.2","-"
"HDGraphicsP530","2015","Workstation","XeonE3-1268Lv5","350","Skylake(Gen9)","34.1","191D","192:24:3(GT2)","1000","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-"
"HDGraphicsP530","MobileWorkstation","2015","191D","1000","XeonE3-1505Lv5","Skylake(Gen9)","350","12FL12_1","34.1","4.64.14.6ES3.2","192:24:3(GT2)","3.01.23.0","1.21.2","-"
"MobileWorkstation","HDGraphicsP530","XeonE3-1505Mv5XeonE3-1535Mv5","2015","191D","1050","Skylake(Gen9)","350","12FL12_1","34.1","4.64.14.6ES3.2","192:24:3(GT2)","3.01.23.0","1.21.2","-"
"HDGraphicsP530","Workstation","2015","191D","XeonE3-1225v5","400","Skylake(Gen9)","34.1","1150","192:24:3(GT2)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-"
"Workstation","HDGraphicsP530","400","XeonE3-1235Lv5","2015","191D","?","Skylake(Gen9)","12FL12_1","34.1","4.64.14.6ES3.2","192:24:3(GT2)","3.01.23.0","1.21.2","-"
"Workstation","HDGraphicsP530","400","XeonE3-1245v5XeonE3-1275v5","2015","191D","1150","Skylake(Gen9)","12FL12_1","34.1","4.64.14.6ES3.2","192:24:3(GT2)","3.01.23.0","1.21.2","-"
"IrisGraphics540","2015","Mobile","Corei5-6260U","Skylake(Gen9)","34.1","1926","300","950","384:48:6(GT3)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","64"
"IrisGraphics540","Mobile","Corei5-6360U","1926","300","2015","384:48:6(GT3)","64","1000","Skylake(Gen9)","12FL12_1","34.1","4.64.14.6ES3.2","3.01.23.0","1.21.2"
"IrisGraphics540","Mobile","Corei7-6560UCorei7-6650UCorei7-6660U","1926","300","2015","384:48:6(GT3)","64","1050","Skylake(Gen9)","12FL12_1","34.1","4.64.14.6ES3.2","3.01.23.0","1.21.2"
"IrisGraphics550","2015","Mobile","Corei3-6157UCorei3-6167U","300","Skylake(Gen9)","384:48:6(GT3)","64","34.1","1927","1000","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2"
"IrisGraphics550","Mobile","Corei5-6267U","1927","2015","1050","Skylake(Gen9)","300","12FL12_1","384:48:6(GT3)","64","34.1","4.64.14.6ES3.2","3.01.23.0","1.21.2"
"IrisGraphics550","Mobile","Corei5-6287UCorei7-6567U","1927","2015","1100","Skylake(Gen9)","300","12FL12_1","384:48:6(GT3)","64","34.1","4.64.14.6ES3.2","3.01.23.0","1.21.2"
"IrisProGraphicsP555","2016","Workstation","XeonE3-1558Lv5","Skylake(Gen9)","34.1","384:48:6(GT3)","192D","650","1000","128","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2"
"IrisProGraphics580","2016","Mobile","Corei5-6350HQ","193B","Skylake(Gen9)","34.1","128","350","900","576:72:9(GT4)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2"
"IrisProGraphics580","Mobile","Corei7-6770HQ","193B","350","2016","576:72:9(GT4)","950","Skylake(Gen9)","12FL12_1","4.64.14.6ES3.2","34.1","128","3.01.23.0","1.21.2"
"IrisProGraphics580","Mobile","Corei7-6870HQ","193B","350","2016","576:72:9(GT4)","1000","Skylake(Gen9)","12FL12_1","4.64.14.6ES3.2","34.1","128","3.01.23.0","1.21.2"
"IrisProGraphics580","Mobile","Corei7-6970HQ","193B","350","2016","576:72:9(GT4)","1050","Skylake(Gen9)","12FL12_1","4.64.14.6ES3.2","34.1","128","3.01.23.0","1.21.2"
"IrisProGraphics580","Desktop","2016","193B","350","Corei5-6585R","576:72:9(GT4)","1100","Skylake(Gen9)","12FL12_1","34.1","128","4.64.14.6ES3.2","3.01.23.0","1.21.2"
"Desktop","IrisProGraphics580","Corei5-6685RCorei7-6785R","2016","193B","350","1150","576:72:9(GT4)","Skylake(Gen9)","12FL12_1","4.64.14.6ES3.2","34.1","128","3.01.23.0","1.21.2"
"IrisProGraphicsP580","2016","Workstation","XeonE3-1578Lv5","193D","Skylake(Gen9)","576:72:9(GT4)","34.1","128","700","1000","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2"
"IrisProGraphicsP580","MobileWorkstation","2016","193D","XeonE3-1515Mv5","1000","350","Skylake(Gen9)","12FL12_1","576:72:9(GT4)","34.1","128","4.64.14.6ES3.2","3.01.23.0","1.21.2"
"MobileWorkstation","IrisProGraphicsP580","350","XeonE3-1545Mv5","2016","193D","1050","Skylake(Gen9)","12FL12_1","4.64.14.6ES3.2","576:72:9(GT4)","34.1","128","3.01.23.0","1.21.2"
