"Model","Features","Features","Features"
"Model","ScalableLinkInterface(SLI)","PureVideo2withVP2,BSPEngine,andAES128Engine","PureVideo3withVP3,BSPEngine,andAES128Engine"
"GeForce9300GE(G98)","Yes","No","Yes"
"GeForce9300GS(G98)","Yes","No","Yes"
"GeForce9400GT","Yes","Yes","No"
"GeForce9500GT","Yes","No","Yes"
"GeForce9600GSO","Yes","No","Yes"
"GeForce9600GT","Yes","No","Yes"
"GeForce9800GT","Yes","No","Yes"
"GeForce9800GTX","Yes","No","Yes3-way"
"GeForce9800GTX+","Yes3-way","Yes","No"
"GeForce9800GX2","Yes","No","Yes"
