"Model","Launch","Codename","Fab(nm)","Businterface","Coreconfig","Clockspeed","Fillrate","Memory","SupportedAPIversion","Memory","Memory","Clockspeed","Clockspeed","Fillrate","Memory","SupportedAPIversion","Processingpower(GFLOPS)","TDP(Watts)","Notes"
"Model","Launch","Codename","Fab(nm)","Businterface","Coreconfig","Core(MHz)","Shader(MHz)","Memory(MHz)","Pixel(GP/s)","Processingpower(GFLOPS)","TDP(Watts)","Notes","Texture(GT/s)","Size(MB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Direct3D","OpenGL"
"GeForce9100MGmGPU","2008","MCP77MH,MCP79MH","65","Integrated(PCIe2.0x16)","8:8:4","450","1100","1066(systemmemory)","1.8","3.6","Upto256fromsystemmemory","17.056","DDR3","128","10.0","3.3","26.4","12","Similarto8400MG"
"GeForce9200MGS","2008","NB9M-GE(G98)","65","PCIe2.0x16","8:8:4","550","1300","1400","2.2","4.4","256","11.2","DDR2/GDDR3","64","10.0","3.3","31.2","13",""
"GeForce9300MG","2008","PCIe2.0x16","NB9M-GE(G86)","80","16:8:4","400","800","1200","1.6","DDR2/GDDR3","64","3.2","13","","256/512","9.6","38.4","10.0","3.3"
"GeForce9300MGS","2008","PCIe2.0x16","NB9M-GE(G98)","65","8:8:4","550","1400","1400","256/512","2.2","DDR2/GDDR3","64","4.4","13","","11.2","33.6","10.0","3.3"
"GeForce9400MG","October15,2008","65","MCP79MX","Integrated(PCIe2.0x16)","16:8:4","450","1100","8001066(systemmemory)","1.8","3.6","Upto256fromsystemmemory","12.817.056","DDR2DDR3","128","54","10.0","3.3","12","PureVideoHDwithVP3.KnownastheGeForce9400MinApplesystemsandNvidiaIONbasedsystems"
"GeForce9500MG","2008","65","NB9P(G96)","PCIe2.0x16","16:8:8","500","1250","1600","4","4","512","25.6","128","DDR2/GDDR3","60","20","10.0","3.3",""
"GeForce9500MGS","2008","NB9P-GV(G96)","80","PCIex16","32:16:8","475","950","1400","3.8","512","7.6","DDR2/GDDR3","22.4","20","91.2","Rebranded8600MGT","128","10.0","3.3"
"GeForce9600MGS","2008","NB9P-GE2(G96)","65","32:16:8","PCIe2.0x16","430","1075","8001600","3.44","6.88","1024","12.825.6","DDR2/GDDR3","103.2","20","","128","10.0","3.3"
"GeForce9600MGT","2008","65","PCIe2.0x16","NB9P-GS(G96)","500","32:16:8","1250","1600","4","8","512/1024","","25.6","120","23","DDR2/GDDR3","10.0","3.3","128"
"GeForce9650MGS","2008","NB9P-GS1(G84)","1250","1600","PCIe2.0x16","80","32:16:8","25.6","120","625","5","10","512","GDDR3","29","Rebranded8700MGT","10.0","3.3","128"
"GeForce9650MGT","2008","NB9P-GT(G96)","PCIe2.0x16","1600","65/55","32:16:8","GDDR3","550","25.6","1325","4.4","8.8","1024","127.2","23","","10.0","3.3","128"
"GeForce9700MGT","July29,2008","NB9E-GE(G96)","65","1600","32:16:8","PCIex16","GDDR3","625","25.6","","1550","5","10","512","148.8","45","10.0","128","3.3"
"GeForce9700MGTS","July29,2008","NB9E-GS(G94)","65","PCIe2.0x16","48:24:16","1600","530","1325","512","GDDR3","8.48","12.7","","51.2","256","190.8","60","10.0","3.3"
"GeForce9800MGS","2008","PCIe2.0x16","NB9E-GT(G94)","530","1325","65","64:32:16","51.2","256","1600","60","8.48","16.96","GDDR3","512","254","DownClocked9800MGTSViaFirmware","10.0","3.3"
"GeForce9800MGTS","July29,2008","NB9E-GT(G94)","PCIe2.0x16","65/55","64:32:16","1600","600","1500","51.2","256","GDDR3","9.6","19.2","512/1024","288","75","","10.0","3.3"
"GeForce9800MGT","July29,2008","65/55","NB9E-GT2(G92)","PCIe2.0x16","96:48:16","500","1600","1250","8","51.2","256","GDDR3","24","512","360","65","Rebranded8800MGTX","10.0","3.3"
"GeForce9800MGTX","July29,2008","NB9E-GTX(G92)","500","1250","8","PCIe2.0x16","65","112:56:16","1600","28","1024","51.2","256","GDDR3","420","75","","10.0","3.3"
"Model","Launch","Codename","Fab(nm)","Businterface","Coreconfig","Core(MHz)","Shader(MHz)","Memory(MHz)","Pixel(GP/s)","Texture(GT/s)","Size(MB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Direct3D","OpenGL","Processingpower(GFLOPS)","TDP(Watts)","Notes"
"Clockspeed","Fillrate","Memory","SupportedAPIversion","Memory","Memory","Clockspeed","Model","Launch","Codename","Fab(nm)","Businterface","Coreconfig","Clockspeed","Fillrate","Memory","SupportedAPIversion","Processingpower(GFLOPS)","TDP(Watts)","Notes"
